AUTOSEND_PRIORITIES_SHORT;Нажмите здесь, чтобы изменить приоритеты автоматической отправки купцов.;Cliquez ici pour modifier la prioritй d’envoi automatique de marchands;Klicken Sie hier, um die Prioritдt zur autom. Hдndlerentsendung zu дndern.;;Clic aquн para cambiar la prioridad de envнo automбtico de comerciantes;;;;;;;;;x;;;;;;;;;;;;;
AUTOSEND_PRIORITIES_LONG;Для каждого торгового центра вы можете установить приоритет автоматической отправки купцов. Красный крестик показывает, что в данный центр купцы отправляться не будут. Красный цвет означает низкий приоритет, желтый - средний, зеленый - самый высокий уровень приоритета.;Pour chaque CdC, vous pouvez dйfinir une prioritй d’envoi automatique de marchands. Une croix rouge indique qu’aucun marchand ne sera envoyй, la prioritй peut alors s’exercer sur trois niveaux. Le niveau rouge correspond au niveau le plus bas, le niveau jaune а au niveau intermйdiaire et le niveau vert au niveau le plus йlevй.;Sie kцnnen fьr jedes neue HZ die Prioritдt zur autom. Hдndlerentsendung festlegen. Ein rotes Kreuz zeigt an, dass keine Hдndler entsandt werden. Es gibt drei Prioritдtsstufen: Rot ist die niedrigste, Gelb steht fьr die mittlere und Grьn fьr die hцchste.;;Puedes establecer la prioridad para enviar automбticamente mercaderes en cada centro de comercio. Una cruz roja significa que no se enviarб ninguno. La prioridad puede fijarse en tres niveles: rojo es el mбs bajo, amarillo significa prioridad media y verde significa alta prioridad.;;;;;;;;;x;;;;;;;;;;;;;
LEDGER_SHORTCUT_LONG;На странице летописи, посвященной торговым центрам, вы можете управлять отправкой купцов во все известные вам торговые центры. Вы можете делать это вручную или автоматически, установив необходимые приоритеты. У вас есть возможность в любой момент включить или отключить автоматическую отправку купцов.;La page CdC des Archives vous permet de gйrer l’envoi de marchands dans les CdC connus. Vous pouvez envoyer des marchands manuellement ou dйfinir des prioritйs d’envoi automatique. Une option vous permet de dйsactiver l’envoi automatique.;Auf der HZ-Seite des Archivs kцnnen Sie die Entsendung von Hдndlern in alle bekannten Handelszentren verwalten. Sie kцnnen Hдndler entweder manuell entsenden oder Prioritдten zum autom. Entsenden festlegen. Situationsabhдngig haben kцnnen Sie die autom. Entsendung aktivieren oder deaktivieren.;;La pбgina del c.d.c. del libro de contabilidad permite gestionar el envнo de comerciantes a todos los c.d.c. conocidos. Se puede enviar comerciantes de forma manual o establecer prioridades para su envнo automбtico. Tambiйn estб la opciуn de activar o desactivar el envнo automбtico en funciуn de la situaciуn.;;;;;;;;;x;;;;;;;;;;;;;
LEDGER_SHORTCUT_SHORT;Нажмите здесь, чтобы перейти на страницу летописи, посвященную торговым центрам.;Cliquez ici pour accйder а la page CdC des archives;Klicken Sie hier, um die HZ-Seite des Archivs aufzurufen;;Clic aquн para ir a la pбgina del c.d.c. en el libro de contabilidad;;;;;;;;;x;;;;;;;;;;;;;
LEDGER_CLICK_TO_SEND_MERCHANT;Нажмите на флаг для отправки купца.;Cliquez sur le drapeau pour envoyer un marchand;Klicken Sie zum Entsenden eines Hдndlers auf die Fahne.;;Clic en la bandera para enviar a un comerciante;;;;;;;;;x;;;;;;;;;;;;;
LEDGER_CLICK_TO_SEND_MERCHANT2;У нас нет ни одного свободного купца для отправки.;Vous n’avez aucun marchand а envoyer;Sie haben keine Hдndler, die Sie schicken kцnnten.;;No hay comerciantes que enviar;;;;;;;;;x;;;;;;;;;;;;;
COTLEDGER_COT_AUTOSEND_S;Автоматическая отправка купцов;Envoyer automatiquement des marchands;Autom. Hдndlerentsendung;;Envнo automбtico de comerciantes;;;;;;;;;x;;;;;;;;;;;;;
COTLEDGER_COT_AUTOSEND_L;Здесь вы можете установить приоритет для автоматической отправки купцов в данный торговый центр. Красный крестик показывает, что в данный центр купцы заходить не будут. Вы также можете установить три разных уровня приоритета.;"Vous pouvez dйfinir ici des prioritйs pour l’envoi automatique de marchands. Une croix indique qu’un marchand ne doit pas кtre envoyй dans ce CdC ; vous pouvez йgalement sйlectionner le niveau de prioritй d’un CdC pour l’envoi de marchands.";Hier kцnnen Sie Prioritдten zur autom. Hдndlerentsendung festlegen. Ein Kreuz zeigt an, dass zu diesem HZ kein Hдndler geschickt werden sollte. Sie haben die Einstellungsmцglichkeit, welche Prioritдt ein HZ bei der Entsendung von Hдndlern hat.;Puedes fijar la prioridad de envнo automбtico de mercaderes aquн. Una cruz significa que un mercader no deberнa ser enviado a un centro de comercio concreto, y tambiйn puedes fijar la prioridad de envнo automбtico de mercaderes a un centro de comercio.;;;;;;;;;;x;;;;;;;;;;;;;
COTLEDGER_COT_MONOPOLY_S;Монополия;Monopoles;Monopole;;Monopolio;;;;;;;;;x;;;;;;;;;;;;;
COTLEDGER_COT_MONOPOLY_L;Герб в этом столбце показывает, какая страна владеет монополией в данном торговом центре.;Un bouclier dans cette colonne indique le pays dйtenteur d’un monopole dans un CdC;Ein Schild in dieser Spalte zeigt an, welches Land in einem bestimmten HZ ein Monopol hat;;Un escudo en esta columna indica quй paнs tiene un monopolio sobre el c.d.c.;;;;;;;;;x;;;;;;;;;;;;;
LEDGER_TEXTBOX_AUTOSEND;Автоматическая отправка купцов;Envoi automatique de marchands;Autom. Hдndlerentsendung;;Envнo auto. de comerciantes;;;;;;;;;x;;;;;;;;;;;;;
###################NEW EVENTS##########################;;;;;;;;;;;;;;x;;;;;;;;;;;;;
EVTNAME6100;Народная поддержка нашего великого флота;Soutien populaire pour notre grande flotte;Volksunterstьtzung fьr unsere Kцnigliche Marine;;Apoyo popular a nuestra gran armada;;;;;;;;;x;;;;;;;;;;;;;
EVTDESC6100;По всей земле люди поддерживают наш Великий флот, внося пожертвования на защиту страны. На верфях корабельные плотники работают как никогда упорно, а вербовщиков осаждают люди, желающие стать моряками! Люди гордятся нашим великим флотом.;Dans tout le pays, la population soutient notre grande marine en contribuant а la dйfense de notre nation. Dans les chantiers navals, nos charpentiers travaillent toujours plus dur et les gens se portent mкme volontaires pour servir comme marins ! Tous sont fiers de notre glorieuse flotte !;Im ganzen Land unterstьtzt das Volk unsere Kцnigliche Marine und trдgt zur Verteidigung unserer Nation bei. Die Schiffsbauer in unseren Werften arbeiten noch hдrter als zuvor, und aus dem Volk melden sich sogar Freiwillige fьr den Matrosendienst! Das Volk ist stolz auf unsere groЯe Flotte;;Por todo el paнs, el pueblo apoya a nuestra gran armada y contribuye a la defensa de la naciуn. En los astilleros, los armadores trabajan con mбs ahнnco. ЎHasta la gente se presenta voluntaria para enrolarse! El pueblo estб orgulloso de nuestra gran armada.;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTA6100;Это просто фантастика!;C’est fantastique;Das ist einfach wunderbar!;;Esto es fantбstico;;;;;;;;;x;;;;;;;;;;;;;
EVTNAME6101;Падение престижа флота среди населения;L’enthousiasme populaire pour notre flotte diminue;Volksenthusiasmus fьr unsere Marine lдsst nach;;Disminuye el apoyo popular a nuestra gran armada ;;;;;;;;;x;;;;;;;;;;;;;
EVTDESC6101;Если честно, наши подданные больше не считают наш флот Великим. Точнее, они больше не восхищаются им. Вербовщики работают как никогда упорно, однако набранных ими матросов едва хватает на самые необходимые нужды флота.;Pour кtre honnкte, notre peuple ne trouve plus notre flotte aussi grande. En fait, il ne l’apprйcie plus. Elle a de plus en plus de mal а trouver de nouvelles recrues et а s’approvisionner en matйriaux de base.;Ehrlich gesagt findet unser Volk unsere Marine gar nicht mehr so groЯartig, sondern verachtet sie vielmehr. Rekrutierungskommandos haben noch grцЯere Schwierigkeiten als zuvor, und selbst die Beschaffung von Grundmaterialien ist sehr mьhsam.;;Para ser francos, el pueblo ya no piensa que nuestra armada sea tan grande. De hecho, ya no les gusta. La oposiciуn es cada vez mбs fuerte y habitual e incluso comprar materiales bбsicos es difнcil.;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTA6101;Это всего лишь краткосрочная проблема;Ce n’est qu’un problиme а court terme;Dies ist nur ein vorьbergehendes Problem.;;Solo es un problema a corto plazo;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTB6101;Все в этом мире можно решить с помощью денег;Il n’est rien qu’un peu d’argent ne peut rйsoudre;Es gibt nichts, dass ein wenig Geld nicht lцsen kцnnte.;;Nada que un poco de dinero no pueda arreglar;;;;;;;;;x;;;;;;;;;;;;;
EVTNAME6102;Появление многообещающего адмирала;L’amiral prometteur apparaоt;Vielversprechender Admiral taucht auf;;Aparece un almirante prometedor;;;;;;;;;x;;;;;;;;;;;;;
EVTDESC6102;"Один из наших ""морских ястребов"" оказался лучшим моряком, чем мы ожидали.";Un de nos Faucons des mers s’est avйrй bien meilleur que nous l’avions imaginй. ;Einer unserer Seefalken hat sich besser entwickelt, als wir es vermutet hatten.;;Uno de nuestros gallardos capitanes ha resultado ser mбs capaz de lo que se pensaba inicialmente. ;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTA6102;Я знал, что это отличная идея;Je savais que c’йtait une bonne idйe.;Ich wusste, dass es eine gute Idee war.;;Ya sabнamos que era una buena idea;;;;;;;;;x;;;;;;;;;;;;;
EVTNAME6103;Встревоженные аристократы;Aristocrates inquiets;Adlige besorgt;;Los aristуcratas estбn preocupados;;;;;;;;;x;;;;;;;;;;;;;
EVTDESC6103;Мы продвигаем талантливых офицеров по карьерной лестнице, не взирая на происхождение. Аристократы же жалуются, что им приходится обедать в компании деревенщины. Кроме того, по их мнению, солдаты будут неохотно подчиняться выходцам из низов, поскольку привыкли получать приказы от людей благородного происхождения.;Notre politique visant а recruter des commandants prometteurs sans йgard а leur naissance inquiиte nos aristocrates qui trouvent difficile de devoir dоner avec des hommes dйnuйs d’йducation. D’aprиs ces mкmes aristocrates, cela contrarie йgalement les hommes sous leur commandement qui prйfиrent des chefs compйtents а des gentlemen.;Unser Verfahren, vielversprechende Kommandeure ungeachtet ihrer Herkunft zu akzeptieren, hat den Adelsstand verstimmt, der es ablehnt, mit Mдnnern zu speisen, denen es an Anstand fehlt. Den Adligen zufolge verдrgert dies auch die Soldaten unter ihrem Kommando, die erwarten, von Hochwohlgeborenen gefьhrt zu werden.;;La polнtica de ascender a comandantes que no tienen sangre noble estб molestando a los aristуcratas, que encuentran desagradable compartir mesa con hombres sin clase. Segъn los aristуcratas, a sus subordinados tambiйn les molesta que no los lideren los mejores, sino hombres que no son caballeros en modo alguno.;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTA6103;Да пусть жалуются;Qu’ils se plaignent !;Sollen sie sich doch beschweren.;;Que se quejen;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTB6103;Что ж, мы можем пойти на некоторые уступки;Eh bien, nous pouvons faire quelques concessions;Nun ja, wir kцnnen ein paar Zugestдndnisse machen.;;Bueno, podemos hacer alguna concesiуn;;;;;;;;;x;;;;;;;;;;;;;
EVTNAME6104;Изобретения на флоте;Dйveloppements navals;Marineentwicklungen;;Desarrollos navales;;;;;;;;;x;;;;;;;;;;;;;
EVTDESC6104;Наша ставка на превосходство в искусстве мореплавания привела к небывалому взлету изобретений на флоте. Это слишком хорошо, чтобы быть правдой!;Nos excellents marins sont а l’origine de progrиs titanesques dans le domaine naval. C’est trop beau pour кtre vrai.;Unsere Anwendung von Ьberlegene Seemannskunst fьhrt zu gewaltigen Entwicklungen unseres seefahrerischen Gedankenguts. Dies ist einfach zu gut, um wahr zu sein.;;Nuestro uso de la Nбutica superior estб impulsando grandes avances en el campo naval. Demasiado bueno para ser cierto;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTA6104;Великолепно!;Зa ne peut pas кtre un mal.;Das ist bestimmt nicht schlecht.;;No puede ser malo;;;;;;;;;x;;;;;;;;;;;;;
EVTNAME6105;Флотская спесь;Fiertй navale;Selbstgefдllige Marine;;Orgullo naval;;;;;;;;;x;;;;;;;;;;;;;
EVTDESC6105;Наше искусство мореплавания настолько превосходно, что ведет к росту самодовольства. Люди начинают почивать на лаврах, а нам сейчас это совсем не нужно.;Nos marins sont tellement bons qu’ils sont а l’origine d’un sentiment de complaisance. Les gens se reposent sur leurs lauriers et je ne suis pas sыr que ce soit la chose а faire.;Unsere Seemannskunst ist derart ьberlegen, dass sich ehrlich gesagt Selbstgefдlligkeit einstellt. Das Volk ist zufrieden damit, sich auf seinen Lorbeeren auszuruhen, und ich bin mir nicht sicher, ob das unseren derzeitigen Plдnen entspricht...;;Nuestra nбutica es tan superior que hay que reconocer con honestidad que nos ha dominado la autocomplacencia. La gente se ha dormido en los laureles. Eso no es lo que necesitamos ahora, їverdad?;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTA6105;Наш флот - самый лучший!;Notre flotte est la meilleure;Unsere Marine ist die beste;;Nuestra armada es la mejor;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTB6105;Мы должны опустить их с небес на землю;Nous devons les secouer un peu;Wir mьssen sie ein bisschen aufrьtteln.;;Hemos de reorganizarla un poco;;;;;;;;;x;;;;;;;;;;;;;
EVTNAME6106;Улучшенная тактика блокады;Tactiques de blocus amйliorйes;Verbesserte Blockadetaktiken;;Tбcticas de bloqueo mejoradas;;;;;;;;;x;;;;;;;;;;;;;
EVTDESC6106;Наша ставка на обучение экипажей привела к созданию улучшенной тактики блокады. И хотя наши враги рано или поздно найдут способ противодействовать ей, на какое-то время мы получили значительное преимущество.;Notre entraоnement au combat naval nous a permis de mettre au point de meilleures tactiques de blocus. Mкme si nos ennemis finissent par les contrer, pour le moment, nous devrions pouvoir tourner la vis.;Unsere Anwendung von Seegefechtsanweisungen hat uns die Entwicklung deutlich verbesserter Blockadetaktiken ermцglicht. Unsere Feinde werden zwar frьher oder spдter GegenmaЯnahmen entwickeln, momentan sind wir aber wirklich am Drьcker.;;Nuestro uso de la instrucciуn en combate naval nos ha permitido desarrollar unas tбcticas de bloqueo mejoradas. Aunque los enemigos acabarбn por contrarrestarlas, de momento somos capaces de apretarles las tuercas.;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTA6106;Мы даже можем на этом заработать;Nous devrions mкme pouvoir en tirer un peu d’argent;Daraus kцnnen wir vielleicht sogar etwas Geld schlagen;;Hasta podrнamos sacar algo de dinero de esto;;;;;;;;;x;;;;;;;;;;;;;
EVTNAME6107;Устаревшие правила;Standards en dйclin;Nachlassende Standards;;Perdiendo la prбctica;;;;;;;;;x;;;;;;;;;;;;;
EVTDESC6107;Наша ставка на обучение экипажей позволила нам установить непроницаемую блокаду вражеских берегов, однако сейчас наши моряки немного разленились.;Notre entraоnement au combat naval nous a permis de mettre en place de redoutables blocus sur les cфtes ennemies, mais pour le moment, nos marins semblent un peu paresseux.;Unsere Anwendung von Seegefechtsanweisungen hat uns ermцglicht, furchterregende Blockaden feindlicher Kьsten zu inszenieren, aber momentan werden unsere Matrosen etwas faul.;;Nuestro uso de la instrucciуn en combate naval nos permitiу imponer unos temibles bloqueos en las costas enemigas, pero nuestros marineros se han vuelto perezosos.;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTA6107;Не все же время им работать на износ;Eh bien, nous ne pouvons pas nous attendre а ce qu’ils soient constamment efficaces.;Nun ja, wir kцnnen nicht erwarten, dass sie stдndig Hцchstleistungen bringen.;;No se puede esperar que siempre funcionen con una eficiencia total;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTB6107;Каждый должен делать все, от него зависящее;J’attends de chacun qu’il fasse son devoir;Ich erwarte, dass jeder Mann ungeachtet der Rahmenbedingungen seinen Dienst erfьllt.;;Que cada hombre cumpla con su deber sin importar las circunstancias;;;;;;;;;x;;;;;;;;;;;;;
EVTNAME6108;Техническое развитие флота;Progrиs techniques navals;Entwicklungen im Bereich Marinetechnologie;;Desarrollos tйcnicos navales;;;;;;;;;x;;;;;;;;;;;;;
EVTDESC6108;Наши корабелы испытывают такой творческий подъем, что создали несколько выдающихся технических решений.;Nos architectes sont dйjа excellents, mais ils font actuellement preuve d’un йlan de crйativitй qui mиne а de nouveaux progrиs techniques.;Unsere Schiffsbauer sind zwar bereits hervorragend, momentan legen sie aber noch dazu einen Kreativitдtsschub hin, der zu weiteren technologischen Entwicklungen fьhrt.;;Nuestros astilleros ya eran excelentes, pero estбn pasando por una fase de creatividad que nos impulsa a nuevos desarrollos tйcnicos.;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTA6108;Кто я такой, чтобы препятствовать им?;Qui suis-je pour les arrкter ?;Warum sollte ich sie daran hindern?;;їQuiйnes somos para detenerlos?;;;;;;;;;x;;;;;;;;;;;;;
EVTNAME6109;Обеспокоенные кораблестроители;Architectes inquiets;Besorgte Schiffsbauer;;Armadores preocupados;;;;;;;;;x;;;;;;;;;;;;;
EVTDESC6109;По неизвестным нам причинам наши корабелы решили, что они лишены поддержки адмиралтейства. Впрочем, должны ли нас беспокоить такие пустяковые вопросы?;Nous ne comprenons pas pourquoi nos architectes n’obtiennent pas l’appui nйcessaire pour leur йtablissement naval. Mais diriger une nation demande beaucoup de travail, et devons-nous vraiment nous prйoccuper d’un problиme de moindre importance comme celui-lа.;Aus uns unergrьndlichen Ursachen sind unsere Schiffsbauer der Meinung, dass sie fьr Naval Establishment nicht genьgend Unterstьtzung erhalten. Die Regierung einer Nation ist aber nun wirklich sehr viel Arbeit - kьmmert uns so eine Nebensдchlichkeit?;;Por razones desconocidas, nuestros armadores creen que no tienen el apoyo y el respaldo del mando de la armada. Aunque gobernar una naciуn ya es bastante difнcil, debemos ocuparnos de este problema menor.;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTA6109;Почему мы должны заботиться об этих бедняках?;Pourquoi devrais-je me soucier de gens si pauvres qu’ils doivent travailler ?.;Warum sollte ich mich um Leute kьmmern, die so arm sind, dass sie arbeiten mьssen?;;їPor quй preocuparnos de gente que es tan pobre que trabaja para vivir?;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTB6109;Надо повлиять на руководство флота;Il est temps de contrarier l’йtablissement naval.;Es ist an der Zeit, das Establishment der Meere aufzumischen;;Es hora de amonestar al mando de la armada;;;;;;;;;x;;;;;;;;;;;;;
EVTNAME6110;Мы правим морями;Nous rйgnons sur l’ocйan.;Wir sind die Herren der Meere.;;Gobernamos los mares;;;;;;;;;x;;;;;;;;;;;;;
EVTDESC6110;Наш славный флот является гордостью нашей нации и предметом зависти для всего остального мира.;Notre glorieuse flotte suscite la fiertй de notre nation et l’envie du monde entier.;Unsere glorreiche Marine ist der Stolz unserer Nation und wird von der ganzen Welt beneidet.;;Nuestra gloriosa armada es el orgullo de nuestra naciуn y la envidia del mundo.;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTA6110;Еще больше славы для нас;Encore plus de gloire pour nous.;Mehr Ruhm fьr uns.;;Mбs gloria para nosotros;;;;;;;;;x;;;;;;;;;;;;;
EVTNAME6111;Упадок флота;La flotte a dйclinй;Die Flotte hat sich verschlechtert;;La flota estб en declive;;;;;;;;;x;;;;;;;;;;;;;
EVTDESC6111;Никто не может понять, как это произошло. Еще вчера у нас был славный флот, которым гордилась вся страна. Сегодня же весь мир смеется над ним.;Personne ne peut vraiment le comprendre. Il y a encore peu, nous avions une flotte glorieuse qui faisait la fiertй de notre nation et voilа qu’elle est la risйe du monde entier.;Niemand kann es verstehen. Gerade eben noch hatten wir eine Flotte, die der Stolz der ganzen Nation war. Jetzt lacht die Welt ьber sie.;;Nadie lo comprende del todo. Antes tenнamos una gloriosa armada de la que la naciуn se enorgullecнa y ahora es el hazmerreнr del mundo.;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTA6111;Славные дни еще вернутся;Son heure de gloire va revenir.;Die ruhmreichen Tage werden wiederkehren.;;Los dнas de gloria volverбn;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTB6111;Немного денег решат проблему;Un peu d’argent devrait remйdier а la situation.;Etwas Geld kцnnte viele Dinge regeln.;;Un poco de dinero ayudarб a arreglar las cosas;;;;;;;;;x;;;;;;;;;;;;;
