EVTDESC712;Обеспокоенное ростом инфляции, наше правительство строго рекомендует нам отменить старую монетную систему и ввести новую, более стабильную валюту. Хотя в долгосрочном плане выгоды очевидны, в ближайшем будущем это вызовет рост недовольства населения и потерю престижа.;Inquiet de l'inflation galopante, votre gouvernement vous conseille vivement d'abandonner votre ancienne monnaie au profit d'une monnaie, certes nouvelle, mais plus stable. Bйnйfique а long terme, une telle mesure provoquerait une agitation dans votre pays et votre prestige s'en trouverait affectй.;Besorgt ьber gallopierende Inflation rдt euch eure Regierung, die alten Mьnzen abzuschaffen und eine neue, stabilere Wдhrung einzufьhren. Wдhrend das auf lange Sicht sicher Vorteile bringen wьrde, wird es sofort schwere Unruhen im Land bringen, zusammen mit einem Verlust an Prestige.;;Preocupado por la vertiginosa inflaciуn, tu gobierno te aconseja firmemente que abandones el viejo sistema monetario y comiences a usar una moneda nueva, mбs estable. Aunque beneficioso a largo plazo, causarб a largo plazo un grave malestar en tu paнs, junto con una pйrdida de prestigio.;;;;;;;;;x;
EVTOPTA712;Прислушаться к совету;Suivez ce conseil.;Folgt seinem Rat.;;Sigue el consejo.;;;;;;;;;x;
EVTOPTB712;Кого волнует эта экономика?;Qui se soucie de l'йconomie ?;Wen interessiert die Wirtschaft?;;їA quiйn le importa la economнa?;;;;;;;;;x;
EVTNAME713;Разложение;Dйcadence;Dekadenz;;Decadencia;;;;;;;;;x;
EVTDESC713;В периоды мира и процветания, когда люди счастливы и чувствуют себя в безопасности, они склонны постепенно становиться все более ленивыми и все менее продуктивными.;Pendant les pйriodes de prospйritй et de paix, lorsque la population est satisfaite, elle a tendance а se laisser aller et а devenir progressivement moins productive.;In Zeiten des Friedens und Wohlstands, wдhrend die Menschen sicher und glьcklich waren, gab es eine Tendenz, weniger produktiv und fauler zu werden.;;En perнodos de paz y prosperidad, mientras la gente estaba feliz y segura, tenнan tendencia a volverse menos productivos y mбs perezosos con el tiempo.;;;;;;;;;x;
EVTOPTA713;Нам нужна встряска;Une reprise en main s'impose.;Wir brauchen einen Umbruch.;;Necesitбbamos una reestructuraciуn.;;;;;;;;;x;
EVTNAME714;Разногласия в армии;L'armйe est divisйe !;Militдr gespalten.;;ЎEjйrcito dividido!;;;;;;;;;x;
EVTDESC714;Решая вопрос, какой тактики следует придерживаться нашей державе, наша армия разбилась на две фракции. Мы должны поддержать одну из сторон, иначе их спор грозит перерасти в вооруженный конфликт.;Deux factions militaires sont sur le point de dйclencher une guerre civile portant sur les tactiques auxquelles notre pays devrait recourir. Il nous faut en soutenir une pour mettre fin а la querelle qui les oppose.;Wir haben zwei Fraktionen im Miltдr, deren Streit ьber die beste Taktik fьr unser Land am Rande eines Bьrgerkriegs steht. Wir mьssen eine davon unterstьtzen, um den Streit zu beenden.;;Tenemos dos facciones en el ejйrcito, prуximas a desencadenar una guerra civil sobre quй tбcticas deberнa aprobar nuestro paнs. Debemos respaldar a una de ellas, para detener la disputa.;;;;;;;;;x;
EVTOPTA714;Наша сила в крепостях!;Les forts sont notre force !;Die Forts sind unsere Stдrke!;;ЎLos fuertes son nuestra ventaja!;;;;;;;;;x;
EVTOPTB714;Мы должны всегда атаковать!;Il nous faut toujours attaquer !;Wir mьssen immer angreiffen!;;ЎDebemos atacar siempre!;;;;;;;;;x;
EVTNAME715;$MONARCH$ смущает двор;$MONARCH$ embarrasse la cour.;$MONARCH$ blamiert den Hof.;;$MONARCH$ avergьenza a la corte.;;;;;;;;;x;
EVTDESC715;$MONARCHTITLE$ совершил сегодня абсолютно неподобающий проступок на глазах у всего двора и нескольких иностранных послов. Последствия этого будут преследовать нас еще годы.;Aujourd'hui, le $MONARCHTITLE$ a commis un terrible faux pas face а la cour et plusieurs dignitaires йtrangers. Il faudra des annйes pour en effacer les consйquences.;Der $MONARCHTITLE$ hat sich heute eine Peinlichkeit vor dem Hof und einigen fremden Gesandten geleistet. Die Auswirkungen werden sich ьber Jahre hinziehen.;;El $MONARCHTITLE$ ha metido la pata por completo hoy ante la corte y algunos dignitarios extranjeros. Las repercusiones de esto tardarбn aсos en repararse.;;;;;;;;;x;
EVTOPTA715;Во всем виноват наш монарх;Accusez le $MONARCHTITLE$.;Beschuldigt den $MONARCHTITLE$;;Culpa al $MONARCHTITLE$;;;;;;;;;x;
EXCOM_NOT_LESSER_UNION;Мы можем отлучить от церкви только старшего партнера в личной унии.;Vous ne pouvez viser que le partenaire en position de supйrioritй d'une union personnelle.;Ihr kцnnt nur den Hauptpartner einer Personalunion als Ziel wдhlen.;;Solo puedes dirigirte al socio principal en una uniуn personal.;;;;;;;;;x;
UNION_TAG_DESC;§Y$COUNTRY$§W является объединением всех народов культурной группы §Y$GROUP$§W, и потому входящие в состав этой группы культуры считаются полностью интегрированными в державе и не приносят той никаких штрафов.;§Y$COUNTRY$§W йtant une union de toutes les cultures §Y$GROUP$§W, celles-ci sont pleinement intйgrйes et ne sont affectйes par aucune pйnalitй.;Seit §Y$COUNTRY$§W sich in einer Union mit allen §Y$GROUP$§W Kulturen befindet, sind diese Kulturen voll integriert und sie erleiden keine Abzьge.;;Dado que §Y$COUNTRY$§W es una uniуn de todas las culturas §Y$GROUP$§W, dichas culturas estбn del todo integradas y no sufren ningъn castigo.;;;;;;;;;x;
PEACEACCEPTENEMY_SETUP;Вражеская держава заключает мир с другой;Lorsqu'une nation ennemie accepte la paix avec une autre nation;Wenn eine feindliche Nation Frieden mit jemand schlieЯt;;Cuando una naciуn enemiga acepta la paz con otra naciуn;;;;;;;;;x;
PEACEACCEPTENEMY_HEADER;Герольд державы;Message de l'ambassadeur :;Herold aus;Wysіannik paсstwa: ;Un heraldo de;Messaggero da;Hнrnцk йrkezett;Herold od;;;;;;x;
PEACEACCEPTENEMY_1;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x;
PEACEACCEPTENEMY_2;сообщает, что они;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;Paсstwo $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;;;;;;x;
PEACEACCEPTENEMY_3;приняли предложение о мире,;a acceptй la paix;schloss Frieden;zawiera pokуj;ha aceptado la paz;ha accettato la proposta di pace;elfogadta a bйkйt;uzavшel mнr;;;;;;x;
PEACEACCEPTENEMY_4;которое выдвинула держава;avec ses anciens ennemis;mit ihren vormaligen Feinden;z ich wrogami;con sus antiguos enemigos de;del suo ex nemico;korбbbi ellensйgйvel szemben, aki;se svэmi bэvalэmi nepшбteli;;;;;;x;
PEACEACCEPTENEMY_5;$ACTOR$,;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$ volt,;$ACTOR$;;;;;;x;
PEACEACCEPTENEMY_6;на следующих условиях: $TERMS$;selon les termes suivants : $TERMS$;zu folgenden Bedingungen: $TERMS$;na nastкpuj№cych warunkach: $TERMS$;en los siguientes tйrminos: $TERMS$;nei seguenti termini: $TERMS$;йs a kцvetkezх feltйtelek mellett: $TERMS$;za nбsledujнcнch podmнnek: $TERMS$;;;;;;x;
PEACEACCEPTENEMY_LOG;Держава $RECIPIENT$ приняла предложение о мире, сделанное державой $ACTOR$.;$RECIPIENT$ a acceptй la paix avec $ACTOR$.;$RECIPIENT$ akzeptiert Friedensvertrag mit $ACTOR$.;Paсstwo $RECIPIENT$ zawiera pokуj z paсstwem $ACTOR$.;$RECIPIENT$ ha aceptado la paz con $ACTOR$.;$RECIPIENT$ ha accettato la proposta di pace di $ACTOR$.;$RECIPIENT$ elfogadta $ACTOR$ bйkeajбnlatбt.;RECIPIENT$ pшijal mнr s $ACTOR$.;;;;;;x;
PEACEACCEPTENEMY_BTN1;Неприятно;Inquiйtant;Besorgnisserregend;;Inquietante;;;;;;;;;x;
PEACEACCEPTENEMY_BTN2;Неприятно;Inquiйtant;Besorgnisserregend;;Inquietante;;;;;;;;;x;
PEACEACCEPTENEMY_BTN3;Перейти;Voir;GOTO;Idџ do;Ir allн;Andare;Menj ide:;Pшejнt na;;;;;;x;
PEACEACCEPTENEMY_MAP;Мир!;Paix !;Frieden!;Pokуj!;ЎPaz!;Pace!;Bйke!;Mнr!;;;;;;x;
tribal_despotism_reform_title;Реформировать государство;Rйformer le gouvernement;Reformiert die Regierung;;Reformar el gobierno;;;;;;;;;x;
tribal_despotism_reform_desc;В течение многих лет наши более развитые соседи смеялись над нашей отсталой племенной формой правления. Что ж, больше они не смогут этого делать: сегодня наш великий лидер провозглашает себя королем!;Depuis des annйes, nos voisins progressistes se moquent de notre forme de gouvernement rйtrograde. Enfin, ce ne sera plus le cas puisque qu’а partir d’aujourd’hui, notre grand dirigeant est un roi !;Viele Jahre nun haben uns unsere fortschrittlichsten Nachbarn wegen unserer rьckstдndigen Stammesregierung ausgelacht. Das ist nun Geschichte: Seit heute ist unser groЯer Anfьhrer Kцnig.;;Durante muchos aсos nuestros vecinos, mбs avanzados, se han reнdo de nosotros a causa de nuestra atrasada forma tribal de gobierno. Bien, se acabу… Ўdesde hoy nuestro gran lнder es un rey!;;;;;;;;;x;
tribal_federation_reform_title;Реформировать государство;Rйformer le gouvernement;Reformiert die Regierung;;Reformar el gobierno;;;;;;;;;x;
tribal_federation_reform_desc;В течение многих лет наши более развитые соседи смеялись над нашей отсталой племенной формой правления. Что ж, больше они не смогут этого делать: сегодня наш великий лидер провозглашает себя королем!;Depuis des annйes, nos voisins progressistes se moquent de notre forme de gouvernement rйtrograde. Enfin, ce ne sera plus le cas puisque qu’а partir d’aujourd’hui, notre grand dirigeant est un roi !;Viele Jahre nun haben uns unsere fortschrittlichsten Nachbarn wegen unserer rьckstдndigen Stammesregierung ausgelacht. Das ist nun Geschichte: Seit heute ist unser groЯer Anfьhrer Kцnig.;;Durante muchos aсos nuestros vecinos, mбs avanzados, se han reнdo de nosotros a causa de nuestra atrasada forma tribal de gobierno. Bien, se acabу… Ўdesde hoy nuestro gran lнder es un rey!;;;;;;;;;x;
tribal_democracy_reform_title;Реформировать государство;Rйformer le gouvernement;Reformiert die Regierung;;Reformar el gobierno;;;;;;;;;x;
tribal_democracy_reform_desc;В течение многих лет наши более развитые соседи смеялись над нашей отсталой племенной формой правления. Что ж, больше они не смогут этого делать: сегодня наш великий лидер провозглашает себя князем!;Depuis des annйes, nos voisins progressistes se moquent de notre forme de gouvernement rйtrograde. Enfin, ce ne sera plus le cas puisque qu’а partir d’aujourd’hui, notre grand dirigeant est un prince !;Viele Jahre nun haben uns unsere fortschrittlichsten Nachbarn wegen unserer rьckstдndigen Stammesregierung ausgelacht. Das ist nun Geschichte: Seit heute ist unser groЯer Anfьhrer Kцnig.;;Durante muchos aсos nuestros vecinos, mбs avanzados, se han reнdo de nosotros a causa de nuestra atrasada forma tribal de gobierno. Bien, se acabу… Ўdesde hoy nuestro gran lнder es un prнncipe!;;;;;;;;;x;
CCOT_NEIGHBOUR;Эта провинция соседствует с торговым центром в провинции §Y$WHO$§W, и потому в ней нельзя создать торговый центр.;Cette province est voisine de §Y$WHO$§W et ne peut donc pas faire office de centre.;Diese Provinz grenzt an §Y$WHO$§W an und kann daher selbst kein Handelszentrum sein.;;Esta provincia es adyacente a §Y$WHO$§W y por ello no puede ser central.;;;;;;;;;x;
STAGNATION;Заг.;St.;St.;;Marasmo;;;;;;;;;x;
EVTNAME716;Знать требует компенсации;La noblesse exige d'кtre dйdommagйe;Adlige verlangen Kompensation;;Los nobles exigen una compensaciуn;;;;;;;;;x;
EVTDESC716;В течение многих лет государство существовало на налоги со знати. Теперь, когда в стране все благополучно, дворянство требует свой кусок пирога.;Voilа longtemps que l'Йtat vit aux crochets de la noblesse. Et maintenant que le pays va bien, cette mкme noblesse entend rйcupйrer sa part du gвteau.;Der Staat hat lange von den Beitrдgen der Adligen gelebt. Nun da es dem Land gut geht ist der Adel begierig, sein Stьck vom Kuchen zu bekommen.;;El estado ha vivido de la contribuciуn de los nobles durante mucho tiempo. Ahora el paнs estб yendo bien, asн que la nobleza estб ansiosa por recibir su parte del pastel.;;;;;;;;;x;
EVTOPTA716;Игнорировать их;Ignorez-la !;Ignoriert sie!;;ЎOlvнdalos!;;;;;;;;;x;
EVTOPTB716;Хорошо, заплатите им;Trиs bien, dйdommagez-la.;In Ordnung, bestecht sie.;;Muy bien, pбgales.;;;;;;;;;x;
EVTNAME717;Денежные реформы;Rйformes monйtaires;Geldreformen;;Reformas monetarias;;;;;;;;;x;
EVTDESC717;Наши казначеи убеждены, что наша экономическая политика нуждается в ряде реформ. По их мнению, нам также следует найти нового монетного мастера.;Nos trйsoriers indiquent qu'il nous faut mettre en њuvre plusieurs rйformes йconomiques. Un nouveau maоtre de la monnaie sera йgalement requis pour s'occuper de l'йconomie.;Unsere Finanzminister meinen, dass wir einige Reformen in unserer Wirtschaftsstrategie vornehmen sollten. Ein neuer Prдgemeister wird dafьr auch nцtig sein.;;Nuestros tesoreros sostienen que necesitamos promulgar algunas reformas en nuestra polнtica econуmica. Tambiйn harб falta un nuevo director de la casa de la moneda para ocuparse de la economнa.;;;;;;;;;x;
EVTOPTA717;Провести реформы;Dйcrйtez-les !;Erlasst sie!;;ЎPromъlgalas!;;;;;;;;;x;
EVTOPTB717;В реформах нет необходимости;De telles rйformes sont inutiles.;Wir brauchen keine Reformen.;;No hay necesidad de reformas.;;;;;;;;;x;
EVTNAME718;Военная удача;Fortune de guerre;Kriegsglьck;;Las fortunas de la guerra;;;;;;;;;x;
EVTDESC718;Наше государство разорено войной, и весь народ, от высшей знати до беднейших крестьян, устал от нее. Мы должны ввести ряд временных законов, которые позволят нам быстро восстановиться.;La guerre a dйvastй notre royaume et le peuple, des plus riches nobles aux plus pauvres serfs, en a assez. Il nous faut promulguer des lois provisoires pour permettre au pays de rйcupйrer plus vite.;Unser Reich wurde vom Krieg verwьstet und die Menschen vom hцchsten Adligen zum дrmsten Bauern sind ihn ьberdrьssig. Wir mьssen einige temporдre Gesetze erlassen, damit sich unser Land schneller erholt.;;Nuestro reino ha sido asolado por la guerra, y el pueblo, desde el mбs alto noble al siervo mбs pobre, estб cansado de ella. Debemos promulgar leyes temporales que permitan que nuestro paнs se recupere mбs rбpido.;;;;;;;;;x;
EVTOPTA718;Ввести строгие законы;Promulguez ces lois.;Erlasst strengere Gesetze;;Promulga leyes enйrgicas;;;;;;;;;x;
EVTOPTB718;Проявить терпимость;Faites preuve de plus d'indulgence.;Seit nachsichtig.;;Sй mбs indulgente.;;;;;;;;;x;
EVTNAME719;Храбрые генералы;Puissant commandement militaire;Starke Militдrfьhrung;;Liderazgo militar enйrgico.;;;;;;;;;x;
EVTDESC719;Наши последние войны привели к появлению у нас талантливых генералов, некоторые из них происходят даже из крестьянских семей. С их помощью мы можем добиться процветания, или же мы можем отвергнуть их, поскольку они не принадлежат к знати. Признание их, тем не менее, может огорчить ряд партий в нашей стране.;Les rйcentes guerres ont fait ressortir de puissants chefs, mкme au sein de la paysannerie. Nous pourrions recourir а leurs compйtences ou les rejeter puisque, aprиs tout, ils ne sont pas nobles. Les accepter pourrait contrarier certains factions du pays.;Unsere letzten Kriege haben zum Aufstieg von kompetenten Anfьhrern gefьhrt, aber aus dem Bauerntum. Wir kцnnten von ihren Fдhigkeiten profitieren, oder wir kцnnten sie abweisen, da sie nicht adlig sind. Sie zu akzeptieren kцnnte aber Faktionen in unserem Land aufbringen.;;Nuestras recientes guerras han dado origen a lнderes competentes, incluso entre los campesinos. Podrнamos prosperar gracias a sus habilidades, o rechazarlos, pues a fin de cuentas no se trata de nobles. Aceptarlos puede molestar a algunas facciones de nuestro paнs.;;;;;;;;;x;
EVTOPTA719;Страна нуждается в них;$COUNTRY$ a besoin d'eux !;$COUNTRY$ braucht sie alle!;;Ў$COUNTRY$ los necesita a todos!;;;;;;;;;x;
EVTOPTB719;Осадить выскочек;Limitez les non-nobles.;Begrenzt die nicht-Adligen;;Limita a los que no sean nobles.;;;;;;;;;x;
EVTNAME720;Флотская традиция;Tradition navale;Die Flottentradition;;La tradiciуn naval.;;;;;;;;;x;
EVTDESC720;Единственное, что может сделать из человека хорошего моряка - это опыт плаваний. Квалифицированные офицеры могут быть повышены в звании, что поможет создать сильный флот. Тем не менее, некоторым партиям в стране такой эгалитаризм не понравится.;Le seul йlйment capable de faire un bon commandant est l'expйrience qu'il s'est forgйe en mer. Les marins compйtents peuvent кtre promus et c'est ce qui constitue une puissante marine. Mais dans le pays, certaines factions n'apprйcient guerre un tel йgalitarisme.;Das Einzige, das wirklich einen guten Flottenkommandanten hervorbringen kann, ist das Leben auf See. Kompetente Leute kцnnen befцrdert werden, und das ist es, das eine starke Flotte ausmacht. Aber einige Faktionen im Land mцgen solche Gesellschaftsgleichheit nicht.;;Lo ъnico que puede crear a un buen comandante de mar es la experiencia de estar en el mar. La gente competente puede ser ascendida, y asн se crea una armada poderosa. Sin embargo, a algunas facciones del paнs no les gusta nada tanto igualitarismo.;;;;;;;;;x;
EVTOPTA720;Матрос может стать капитаном;Un mousse peut devenir capitaine !;Ein Schiffsjunge kann Kapitдn werden!;;ЎUn grumete puede llegar a capitбn!;;;;;;;;;x;
EVTOPTB720;Никогда!;Jamais !;Niemals!;;ЎJamбs!;;;;;;;;;x;
restore_holy_see_title;Восстановить святейший престол;Rйtablir le Saint-Siиge;Richtet den Heiligen Stuhl wieder ein;;Restaura la Santa Sede;;;;;;;;;x;
restore_holy_see_desc;Папа больше не контролирует Рим. Мы как наихристианнейшая страна в мире должны исправить это отвратительное богохульство! Наш долг - завоевать Рим и вернуть город гласу Божьему на земле.;Le pape ne contrфle plus Rome. En tant que grande nation catholique, il nous faut y remйdier. Partez а la conquкte de Rome et faites entendre а la ville la voix de Dieu !;Der Papst kontrolliert Rom derzeit nicht. Wir, als katholische Nation, mьssen diese Blasphemie rьckgдngig machen. Erobert Rom, und gebt Gottes Stimme auf Erden die Stadt zurьck!;;El Papa no controla Roma actualmente. Nosotros, la mбs catуlica de las naciones, debemos rectificar tan vil blasfemia. ЎConquista Roma, y entrega la ciudad al portavoz de Dios sobre la Tierra!;;;;;;;;;x;
solidify_our_papal_relations_title;Улучшить отношения с Папой;Consolidez les relations papales.;Festigt unsere pдpstlichen Beziehungen;;Consolida nuestra relaciуn con el Papa;;;;;;;;;x;
solidify_our_papal_relations_desc;Мы приличное католическое государство, однако наши отношения с Папой в данный момент не слишком теплые. Их нужно улучшать, иначе мы рискуем слишком сильно сбиться с единственно истинного пути.;Nous sommes un Йtat catholique et nos relations avec le pape sont cordiales, tout au plus. Il nous faut les amйliorer pour ne pas risquer de nous йcarter de l'unique vraie foi.;Wir sind ein rechtmдЯiger katholischer Staat, aber unsere Beziehungen zum Papst sind nicht gut. Wir mьssen das дndern, oder wir kцnnten uns zu weit vom einzig wahren Glauben entfernen.;;Somos un estado catуlico, pero nuestra relaciуn con el Papa en este momento es solo cordial. Debemos mejorarla, o nos apartaremos demasiado de la ъnica fe verdadera.;;;;;;;;;x;
keep_rival_out_of_italy_title;Выгнать державу $COUNTRY$ из Италии;Tenez $COUNTRY$ а l'йcart de l'Italie !;Haltet $COUNTRY$ von Italien fern!;;ЎAнsla $COUNTRY$ de Italia!;;;;;;;;;x;
keep_rival_out_of_italy_desc;Мы не можем позволить себе, чтобы держава $COUNTRY$ присутствовала в Италии. Они являются нашим врагом, а Италия - сферой наших интересов. Полуостров должен быть только наш.;Nous ne pouvons pas accepter la prйsence de $COUNTRY$ en Italie. Nous sommes rivaux et cela se trouve dans notre sphиre d'influence. L'Italie doit кtre notre domaine.;Wir kцnnen $COUNTRY$ in Italien nicht tolerieren. Sie sind einer unserer Rivalen und es liegt in unserer Einflusssphдre. Italien sollte unser sein!;;No podemos dejar que $COUNTRY$ estй presente en Italia. Es uno de nuestros rivales, y esta es nuestra zona de influencia. Italia deberнa ser nuestro dominio.;;;;;;;;;x;
HAVE_LESS_MEN_THAN;Армия меньше ;Ont une armйe plus petite que ;Hat eine Armee kleiner als;;Crea un ejйrcito de menos de;;;;;;;;;x;
HAVE_MORE_MEN_THAN;Армия как минимум ;Ont une armйe d'au moins ;Hat eine Armee von zumindest;;Crea un ejйrcito de al menos;;;;;;;;;x;
HAVE_LESS_SHIP_THAN;Число кораблей во флоте меньше ;Ont une flotte infйrieure а ;Haben Sie eine kleinere Flotte als ;;Crea una flota de menos de;;;;;;;;;x;
HAVE_MORE_SHIP_THAN;Число кораблей во флоте как минимум ;Ont une flotte d'au moins ;Hat eine Gesamtflotte von zumindest;;Crea una flota de al menos;;;;;;;;;x;
RIVAL_COUNTRY_STARTS;Враг;Rival;Rivale;;Rival;;;;;;;;;x;
THREAT_COUNTRY_STARTS;Угроза;Menace;Bedrohung;;Amenaza;;;;;;;;;x;
rival_army_title;Защита от державы $COUNTRY$;Protйger contre $COUNTRY$;Schutz vor $COUNTRY$;;Protege contra $COUNTRY$;;;;;;;;;x;
rival_army_desc;$COUNTRY$ обладает большей армией, чем мы. Это крайне опасно, ведь они наши враги. Мы должны увеличить численность наших сухопутных войск.;$COUNTRY$ a une plus grande armйe que nous. C'est un grand danger, car c'est un de nos rivaux. Il nous faut agrandir notre armйe.;$COUNTRY$ hat eine grцЯere Armee als wir. Das ist eine groЯe Gefahr, da sie unser Rivale sind. Wir mьssen unsere Armee verstдrken.;;$COUNTRY$ tiene un ejйrcito mбs grande que nosotros. Es un serio peligro, pues es rival nuestro. Necesitamos crear un ejйrcito mбs grande.;;;;;;;;;x;
rival_navy_title;Морская гонка с державой $COUNTRY$;Course navale contre $COUNTRY$;Flottenwettrьsten gegen $COUNTRY$;;Carrera naval contra $COUNTRY$;;;;;;;;;x;
rival_navy_desc;$COUNTRY$ обладает флотом, численно превосходящим наш. Они наши заклятые враги, поэтому такое положение дел недопустимо. Мы должны построить больше кораблей.;$COUNTRY$ a une flotte numйriquement supйrieure а la nфtre. Il est pour nous un fйroce rival et ce n'est pas acceptable. Il nous faut construire plus de navires.;$COUNTRY$ hat eine grцЯere Flotte als wir. Sie sind unser Erzrivale, also ist das inakzeptabel. Wir mьssen mehr Schiffe bauen.;;$COUNTRY$ tiene una flota mayor que la nuestra. Es un rival encarnizado, por lo que no es aceptable. Debemos construir mбs barcos.;;;;;;;;;x;
CW_WARNOVERLORD;Они находятся в подчинении у державы $COUNTRY$, которая обязательно встанет на их защиту.;Ce sont des sujets de $COUNTRY$ qui les protйgera.;Sie sind Untertan von $COUNTRY$, die sie beschьtzen werden.;;Son sъbditos de $COUNTRY$, los protegerб.;;;;;;;;;x;
CW_WARNOVERLORD2;Держава $ENEMY$ находится в подчинении у державы $COUNTRY$, которая обязательно встанет на ее защиту.;$ENEMY$ est un sujet de $COUNTRY$ qui le protйgera.;$ENEMY$ ist Untertan von $COUNTRY$, die sie schьtzen werden.;;$ENEMY$ es sъbdito de $COUNTRY$, los protegerб.;;;;;;;;;x;
WECANTHEIRMIL_SETUP;Мы разрываем соглашение на проход наших войск через территорию другой державы;Lorsque nous mettons fin а l'accиs militaire que nous a donnй une autre nation;Wenn wir den Militдrzugang in einer anderen Nation aufkьndigen.;;Al acabar el acceso militar concedido por otra naciуn;;;;;;;;;x;
WECANTHEIRMIL_HEADER;Наш канцлер сообщает:;Message de l'ambassadeur :;Herold aus;Wysіannik paсstwa:;Un heraldo de;Messaggero da;Hнrnцk йrkezett tхle:;Herold od;;;;;;x;
WECANTHEIRMIL_1;Отмена прохода войск!;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;;;;;;x;
WECANTHEIRMIL_2;$MONARCHTITLE$, мы больше не заинтересованы в коридоре через территорию державы;$MONARCHTITLE$, nous n'avons plus besoin de traverser les terres de ;$MONARCHTITLE$, wir sind nicht lдnger interessiert an Militдrzugang zu den Lдndereien von;;$MONARCHTITLES$, ya no estamos interesados en pasar por las tierras de;;;;;;;;;x;
WECANTHEIRMIL_3;$RECIPIENT$,;$RECIPIENT$ ;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x;
WECANTHEIRMIL_4;поэтому мы разорвали наше с ними соглашение о проходе войск.;et nous annulons donc leur accиs militaire.;also haben den Vertrag zum militдrischen Zugangsrecht aufgekьndigt.;;asн que hemos cancelado su tratado de acceso militar.;;;;;;;;;x;
WECANTHEIRMIL_5;*;*;*;*;*;*;*;;;;;;;x;
WECANTHEIRMIL_6;Народ нашей страны бурно приветствует это событие.;$ACTOR$ : le peuple se rйjouit de la nouvelle.;Das Volk von $ACTOR$ bejubelt die Neuigkeiten.;Ludnoњж w $ACTOR$ cieszy siк, sіysz№c te wieњci.;El pueblo de $ACTOR$ se alegra de la noticia.;Il popolo di: $ACTOR$ и felice di saperlo.;$ACTOR$ nйpe цrьl ezen hнr bejelentйsйnek.;Lid $ACTOR$ se raduje z novэch zprбv.;;;;;;x;
