EVTDESC403;С низким престижем приходит и неуважение. В результате другие народы теряют веру в нашу способность защищать свою сферу влияния. Впрочем, мы всегда можем потребовать удовлетворения наших притязаний силой, на поле боя.;Qui dit faible prestige dit manque de respect. Les autres nations ne nous croient plus capables de dйfendre la sphиre d’influence $COUNTRY_ADJ$. Mais, si nйcessaire, nous pouvons encore imposer nos exigences sur le champ de bataille.;Fehlender Respekt geht mit niedrigem Prestige einher. Das fьhrt dazu, dass andere Nationen den Glauben verlieren, dass wir die $COUNTRY_ADJ$ Einflusssphдre verteidigen kцnnen.;;Con el poco prestigio viene la falta de respeto. Ello causa que otras naciones pierdan la fe en nuestra capacidad de defender la zona de influencia de $COUNTRY_ADJ$.  Sin embargo, aъn podemos hacer valer nuestras exigencias en el campo de batalla, si es preciso.;;;;;;;;;x;
EVTOPTA403;Сильный всегда прав!;Force fait loi !;Stдrke bringt Recht.;;ЎLa razуn de la fuerza!;;;;;;;;;x;
EVTOPTB403;Мы никогда особо и не заботились об этом;Qu’importe, nous ne nous sommes jamais souciйs de notre influence.;Unser Einfluss hat uns noch nie interessiert.;;Nunca nos importу nuestra influencia.;;;;;;;;;x;
non_patrolled;Отсутствие морского патрулирования;Absence de patrouilles navales;Fehlende Flottenpatrouillien;;Falta de patrullas navales;;;;;;;;;x;
MILITARY_TACTICS;Уровень тактики;Tactiques militaires;Militдrtaktik;;Tбcticas militares;;;;;;;;;x;
ADD_TO_SPHERE;Держава $WHO$ войдет в сферу влияния державы $LEADER$.\n;$WHO$ entre dans la sphиre d’influence de $LEADER$.\n;$WHO$ wird Teil der Einflusssphдre von $LEADER$ .\n;;$WHO$ pasa a formar parte de la zona de influencia de $LEADER$.\n;;;;;;;;;x;
REMOVE_FROM_SPHERE;Держава $LEADER$ перестанет воспринимать державу $WHO$ частью своей сферы влияния.\n;$LEADER$ ne pourra plus affirmer que $WHO$ fait partie de sa sphиre d’influence.\n;$LEADER$ wird $WHO$ nicht lдnger als Teil ihrer Einflusssphдre betrachten kцnnen#.\n;;$LEADER$ ya no podrбn reclamar $WHO$ como parte de su zona de influencia.\n;;;;;;;;;x;
ANY_SPHERE_STARTS;Сфера влияния;Sphиre d’influence;Einflusssphдre;;Zona de influencia;;;;;;;;;x;
HAS_SPHERE;Есть державы в сфере влияния;A une sphиre d’influence.;Hat eine Einflusssphдre;;Tiene una zona de influencia.;;;;;;;;;x;
HAS_NO_SPHERE;НЕТ держав в сфере влияния;N’a AUCUNE sphиre d’influence.;Hat KEINE Einflusssphдre;;NO tiene zona de influencia.;;;;;;;;;x;
weaken_rival_league;Ослабить торговый союз врага;Affaiblissement d’une ligue rivale;Schwдcht rivalisierende Liga;;Debilita la liga rival;;;;;;;;;x;
weaken_rival_league_desc;Торговые союзы постоянно конкурировали друг с другом в борьбе за новые рыки. Иногда они даже прибегали к не очень честным приемам, стремясь дискредитировать своих соперников.;Les ligues commerciales йtaient en concurrence perpйtuelle, toujours prкtes а devancer les autres ligues sur de nouveaux marchйs. Parfois, elles avaient mкme recours а des tactiques inavouables pour jeter le discrйdit sur leurs rivales.;Trade leagues were notoriously competetive, always trying to get ahead of other leagues into new markets. Sometimes they even resorted to shadier tactics to discredit their rivals.;;Las ligas comerciales compiten manifiestamente, tratando siempre de adelantarse a otras ligas en nuevos mercados. A veces, incluso recurren a tбcticas mбs dudosas para desacreditar a sus rivales.;;;;;;;;;x;
SHIPS_IN_RANGE;На дистанции патрулирования есть флотилии, увеличивающие досягаемость для патрулей.\n;Des flottes situйes а votre portйe йlargissent le rayon de patrouille.\n;Es sind Flotten in Reichweite, die den Patrouillienradius vergrцЯern.\n;;Hay flotas al alcance aumentando radio de patrulla.\n;;;;;;;;;x;
HAVE_NOT_CORE_CLAIM_AGAINST;НЕТ повода для войны 'Возвращение' с державой ;N’ont aucune revendication de lйgitimitй sur ;Hat keinen Gebietsanspruch gegenьber;;Sin reclamaciуn de nъcleo contra;;;;;;;;;x;
HAVE_CORE_CLAIM_AGAINST;Есть повод для войны 'Возвращение' с державой ;Ont une revendication de lйgitimitй sur ;Hat Gebietsanspruch gegenьber;;Con reclamaciуn de nъcleo contra;;;;;;;;;x;
HAVE_NOT_CG_CLAIM_AGAINST;НЕТ повода для войны 'Национализм' с державой ;N’ont aucune revendication d’appartenance а leur groupe culturel sur ;Hat keinen Kulturgruppenanspruch gegenьber;;Sin reclamaciуn de grupo cultural contra;;;;;;;;;x;
HAVE_CG_CLAIM_AGAINST;Есть повод для войны 'Национализм' с державой ;Ont une revendication d’appartenance а leur groupe culturel sur ;Hat Kulturgruppenanspruch gegenьber;;Con reclamaciуn de grupo cultural contra;;;;;;;;;x;
HAVE_NOT_RG_CLAIM_AGAINST;НЕТ повода для войны 'Священная война' с державой ;N’ont aucune revendication d’appartenance а leur groupe religieux sur ;Hat keinen Religionsgruppenanspruch gegenьber;;Sin reclamaciуn de grupo religioso contra;;;;;;;;;x;
HAVE_RG_CLAIM_AGAINST;Есть повод для войны 'Священная война' с державой ;Ont une revendication d’appartenance а leur groupe religieux sur ;Hat Religionsgruppenanspruch gegenьber;;Con reclamaciуn de grupo religioso contra;;;;;;;;;x;
HAVE_NOT_BORDER_CLAIM_AGAINST;НЕТ повода для войны 'Пограничный конфликт' с державой ;N’ont aucun conflit frontalier avec ;Hat keinen Grenzdisput mit;;Sin disputa fronteriza con;;;;;;;;;x;
HAVE_BORDER_CLAIM_AGAINST;Есть повод для войны 'Пограничный конфликт' с державой ;Ont un conflit frontalier avec ;Hat Grenzdisput mit;;Con disputa fronteriza con;;;;;;;;;x;
CHOOSE_CB;Выберите повод для войны:;Choisir le casus belli :;Kriegsgrund auswдhlen:;;Elige casus belli:;;;;;;;;;x;
STABILITY_EFFECTS;Влияние на стабильность:;Effets de la stabilitй :;Stabilitдtseffekt:;;Efectos de estabilidad:;;;;;;;;;x;
ATTACK_NO_CB;Напасть без повода;Attaquer sans casus belli;Ohne Kriegsgrund angreiffen;;Ataque sin casus belli;;;;;;;;;x;
CRUSADE_WAR_NAME;$ORDER$$FIRST$ $CRUSADE_NAME$ против державы $SECOND_NAME$;$ORDER$$FIRST$ $CRUSADE_NAME$ contre $SECOND_NAME$;$ORDER$$FIRST$ $CRUSADE_NAME$ gegen $SECOND_NAME$;;$ORDER$$FIRST$ $CRUSADE_NAME$ contra $SECOND_NAME$;;;;;;;;;x;
CORE_WAR_NAME;$ORDER$$FIRST$ война за возвращение пров. $PROVINCE$;$ORDER$$FIRST$ Reconquкte de $PROVINCE$;$ORDER$$FIRST$ Rьckeroberung von $PROVINCE$;;$ORDER$$FIRST$ Reconquista de $PROVINCE$;;;;;;;;;x;
FINANCIAL_WAR_NAME;$ORDER$$FIRST$-$SECOND$ компенсационная война;$ORDER$$FIRST$-$SECOND$ Guerre de rйcompense;$ORDER$$FIRST$-$SECOND$ Krieg zur Wiedergutmachung;;$ORDER$$FIRST$-$SECOND$ Guerra de compensaciуn;;;;;;;;;x;
SPY_WAR_NAME;$ORDER$$FIRST$ война $SECOND$ провокации;$ORDER$$FIRST$ Guerre sur $SECOND$ provocation;$ORDER$$FIRST$ Krieg der $SECOND$ Provokation;;$ORDER$$FIRST$ Guerra por $SECOND$ provocaciуn;;;;;;;;;x;
VASSAL_WAR_NAME;$ORDER$$FIRST$-$SECOND$ вассальная война;$ORDER$$FIRST$-$SECOND$ Guerre de vassalisation;$ORDER$$FIRST$-$SECOND$ Vassalisationskrieg;;$ORDER$$FIRST$-$SECOND$ Guerra de vasallaje;;;;;;;;;x;
DOF_WAR_NAME;$ORDER$Война по защите веры $FIRST_RELIGION$;$ORDER$$FIRST_RELIGION$ Guerre dйfensive;$ORDER$$FIRST_RELIGION$ Verteidigungskrieg;;$ORDER$$FIRST_RELIGION$ Guerra defensiva;;;;;;;;;x;
HRE_DEFENSE_WAR_NAME;$ORDER$Имперская интервенция;$ORDER$ Intervention du Saint Empire romain germanique;$ORDER$Holy Rцmische Intervention;;$ORDER$Intervenciуn sacro imperio romano;;;;;;;;;x;
INTERVENTION_WAR_NAME;$ORDER$$FIRST$ интервенция;$ORDER$$FIRST$ Intervention;$ORDER$$FIRST$ Intervention;;$ORDER$$FIRST$ Intervenciуn;;;;;;;;;x;
INSULT_WAR_NAME;$ORDER$$FIRST$-$SECOND$ война чести;$ORDER$$FIRST$-$SECOND$ Guerre d’honneur;$ORDER$$FIRST$-$SECOND$ Krieg der Ehre;;$ORDER$$FIRST$-$SECOND$ Guerra de honor;;;;;;;;;x;
THRONE_WAR_NAME;$ORDER$$FIRST$ война за $SECOND$ трон;$ORDER$$FIRST$ Guerre pour le $SECOND$ trфne;$ORDER$$FIRST$ Krieg um den $SECOND$ Thron;;$ORDER$$FIRST$ Guerra por el $SECOND$ trono;;;;;;;;;x;
NATION_WAR_NAME;$ORDER$$FIRST$-$SECOND$ националистическая война;$ORDER$$FIRST$-$SECOND$ Guerre nationaliste;$ORDER$$FIRST$-$SECOND$ nationalistischer Krieg;;$ORDER$$FIRST$-$SECOND$ Guerra nacionalista;;;;;;;;;x;
IMPERIAL_WAR_NAME;$ORDER$$FIRST$-$SECOND$ империалистическая война;$ORDER$$FIRST$-$SECOND$ Guerre impйrialiste;$ORDER$$FIRST$-$SECOND$ Imperialistischer Krieg;;$ORDER$$FIRST$-$SECOND$ Guerra imperialista;;;;;;;;;x;
COLONIAL_WAR_NAME;$ORDER$$FIRST$-$SECOND$ колониальная война;$ORDER$$FIRST$-$SECOND$ Guerre coloniale;$ORDER$$FIRST$-$SECOND$ Kolonialkrieg;;$ORDER$$FIRST$-$SECOND$ Guerra colonial;;;;;;;;;x;
UNION_WAR_NAME;$ORDER$$FIRST$-$SECOND$ объединительная война;$ORDER$$FIRST$-$SECOND$ Guerre d’unification;$ORDER$$FIRST$-$SECOND$ Vereinigungskrieg;;$ORDER$$FIRST$-$SECOND$ Guerra de unificaciуn;;;;;;;;;x;
LIBERATION_WAR_NAME;$ORDER$$FIRST$-$SECOND$ освободительная война;$ORDER$$FIRST$-$SECOND$ Guerre de libйration;$ORDER$$FIRST$-$SECOND$ Befreiungskrieg;;$ORDER$$FIRST$-$SECOND$ Guerra de liberaciуn;;;;;;;;;x;
HERETIC_WAR_NAME;$ORDER$$FIRST$ война по очищению $SECOND$ ереси;$ORDER$$FIRST$ Purge de la $SECOND$ hйrйsie;$ORDER$$FIRST$ Unterdrьckung der $SECOND$ Ketzerei;;$ORDER$$FIRST$ Purga de $SECOND$ herejнa;;;;;;;;;x;
BORDER_WAR_NAME;$ORDER$$FIRST$-$SECOND$ приграничная война;$ORDER$$FIRST$-$SECOND$ Guerre frontaliиre;$ORDER$$FIRST$-$SECOND$ Grenzkrieg;;$ORDER$$FIRST$-$SECOND$ Guerra fronteriza;;;;;;;;;x;
EXCOM_WAR_NAME;$ORDER$$FIRST$ война из-за $SECOND$ отлучения;$ORDER$$FIRST$-$SECOND$ Guerre d’excommunication;$ORDER$$FIRST$-$SECOND$ Exkommunikationskrieg;;$ORDER$$FIRST$-$SECOND$ Guerra de excomuniуn;;;;;;;;;x;
TRADE_WAR_NAME;$ORDER$$FIRST$-$SECOND$ торговая война;$ORDER$$FIRST$-$SECOND$ Guerre commerciale;$ORDER$$FIRST$-$SECOND$ Handelskrieg;;$ORDER$$FIRST$-$SECOND$ Guerra comercial;;;;;;;;;x;
BAN_WAR_NAME;$ORDER$Имперская война за пров. $PROVINCE$;$ORDER$ Rйclamation de $PROVINCE$ par le Saint Empire romain germanique;$ORDER$ heilige rцmische Wiederbeanspruchung von $PROVINCE$;;$ORDER$Reclamaciуn del Sacro Imperio Romano de $PROVINCE$;;;;;;;;;x;
CONFORMANCE_WAR_NAME;$ORDER$Имперско-$SECOND$ война за единообразие;$ORDER$ $SECOND$ Guerre de soumission du Saint Empire romain germanique;$ORDER$Heiliger Rцmischer-$SECOND$ Konformitдtskrieg;;$ORDER$Sacro Imperio Romano-$SECOND$ Guerra de conformidad;;;;;;;;;x;
PUNITIVE_WAR_NAME;$ORDER$$FIRST$-$SECOND$ карательная война;$ORDER$ $FIRST$-$SECOND$ Guerre punitive;$ORDER$$FIRST$-$SECOND$ Bestrafungskrieg;;$ORDER$$FIRST$-$SECOND$ Guerra de castigo;;;;;;;;;x;
PRIMITIVE_WAR_NAME;$ORDER$$FIRST$ война за покорение державы $SECOND_NAME$;$ORDER$$FIRST$ Conquкte de $SECOND_NAME$;$ORDER$$FIRST$ Eroberung von $SECOND_NAME$;;$ORDER$$FIRST$ Conquista de $SECOND_NAME$;;;;;;;;;x;
CONQUEST_WAR_NAME;$ORDER$$FIRST$ война за завоевание пров. $PROVINCE$;$ORDER$$FIRST$ Conquкte de $PROVINCE$;$ORDER$$FIRST$ Eroberung von $PROVINCE$;;$ORDER$$FIRST$ Conquista de $PROVINCE$;;;;;;;;;x;
