ecumenism_desc;Проблема взаимоотношения государства с еретиками всегда сложна. Хотя почти все проблемы может решить старый добрый подход с огнем и мечом, дипломатия также может достичь успеха. Организовав диалог между различными религиозными сектами, мы можем снизить недопонимание и обеспечить стране мир и покой.;La maniиre de gйrer les hйrйtiques du royaume demeure une question йpineuse. Bien que la bonne vieille mйthode du fer et du feu permette de rйgler la plupart des problиmes, la diplomatie peut, elle aussi, payer. En encourageant le dialogue entre les diffйrentes sectes, nous rйduirons les malentendus et favoriserons la paix au sein du royaume. ;Das Problem, wie man mit Hдretikern im eigenen Reich umgehen soll, ist immer ein schwieriges. Obwohl die gute alte Feuer-und-Schwert Methode die meisten Probleme schlussendlich lцsen wird, kann auch Diplomatie erfolgreich sein. Durch den Dialog zwischen den verschiedenen Sekten kцnnen wir Missverstдndnisse ausrдumen und den Frieden im Reich aufrechterhalten.;;El problema de cуmo ocuparse de la herejнa en el reino siempre es complicado. Aunque el clбsico y efectivo a sangre y fuego acabarб por resolver la mayorнa de los problemas, la diplomacia tambiйn puede servir. Alentando el diбlogo entre las diversas sectas, podemos reducir los conflictos y fomentar la paz en el reino. ;;;;;;;;;x;
land_of_opportunity_desc;Изобразив колонии как новые территории, где каждый (даже женщины) может добиться успеха, мы заставим наш народ быстрее переселяться в эти земли. Значит, государству придется тратить меньше денег на поощрение колонизации.;En prйsentant les terres coloniales et les territoires vierges comme des endroits oщ les hommes, voire les femmes, peuvent faire fortune, les candidats а l’йmigration y seront plus nombreux. Ainsi, la nation dйpensera moins d’argent pour inciter les gens а s’y rendre. ;Durch die Darstellung von Kolonien als jungfrдuliche Gebiete, wo jeder Mann, und vielleicht auch einige Frauen, zu Reichtum kommen kann, werden die Menschen schneller in die Kolonien emigrieren. Das bedeutet, das wir weniger Geld ausgeben mьssen, um die Leute dazu zu bewegen.;;Con el retrato de tierras coloniales y un nuevo territorio virgen en el que cualquier hombre puede hacer fortuna, posiblemente tambiйn algunas mujeres, la gente emigrarб con mayor rapidez a las colonias. Lo que significa que la naciуn se habrб gastado menos dinero en animar a la gente a marcharse allн. ;;;;;;;;;x;
regimental_system_desc;Разделив нашу армию на полки, привязанные к определенным географическим областям, мы позволим нашей армии укорениться в нашем обществе. Значит, когда настанет время набирать в наши полки новых людей, мы сможем сделать это быстрее.;En organisant nos forces en rйgiments liйs а des zones gйographiques distinctes, nous permettrons а l’armйe de s’enraciner dans la communautй. Ainsi, le moment venu, elle pourra former plus rapidement de nouveaux bataillons pour nos rйgiments. ;Durch die Organisation unserer Armeen in Regimentern, die an bestimmte geographische Gebiete gebunden sind erlauben wir der Armeen, Wurzeln in die Gesellschaft zu schlagen. So werden sie, wenn wir kommen und mehr Battalione fьr unsere Regimenter ausheben, schneller rekrutiert werden.;;Al organizar a nuestros ejйrcitos en regimientos vinculados a las diferentes zonas geogrбficas podemos dejar que el ejйrcito eche raнces en la comunidad. Asн, cuando tengamos que formar batallones para nuestros regimientos, serб posible reclutarlos mбs deprisa. ;;;;;;;;;x;
MULTCITYSIZE;Численность населения в провинции $WHERE$ изменится на $PERC$.\n;La population de $WHERE$ a йvoluй de $PERC$.\n;Bevцlkerung in $WHERE$ geдndert um $PERC$.\n;;La poblaciуn de $WHERE$ ha cambiado en un $PERC$.\n;;;;;;;;;x;
VARIABLE;Переменная;Variable ;Variable ;;Variable ;;;;;;;;;x;
IS_GREATER_THAN; больше ; est supйrieur(e) а  ; ist grцЯer als ;; es mayor que ;;;;;;;;;x;
IS_EQUAL_OR_LESS_THAN; меньше или равен ; est йgal(e) ou infйrieur(e) а  ; ist gleich groЯ oder geringer als ;; es igual o menor que ;;;;;;;;;x;
IS_NOT_OVERSEAS; не находится за морем; n’est pas outre-mer; ist nicht in Ьbersee;; no estб en ultramar;;;;;;;;;x;
IS_OVERSEAS; находится за морем; est outre-mer; ist in Ьbersee;; estб en ultramar;;;;;;;;;x;
RANDOM_EFFECT;§Y$CHANCE$%§W вероятность:\n;§Y$CHANCE$§W% de chances de  ;$CHANCE$% Chance auf \n;;Probabilidad del §Y$CHANCE$§W% de ;;;;;;;;;x;
RANDOM_LIST_EFFECT;Произойдет одно из §Y$SIZE$§W следующих событий.\n;Une des §Y$SIZE$§W options se produira.\n;eine von $SIZE$ Optionen wird eintreten.\n;;Tendrб lugar una de las §Y$SIZE$§W opciones.\n;;;;;;;;;x;
COUNTRY_DECISIONS;Национальные решения;Dйcisions nationales;Nationale Entscheidungen;;Decisiones nacionales;;;;;;;;;x;
ACTIVE_MISSION;Текущее задание;Mission actuelle;Derzeitige Mission;;Misiуn actual;;;;;;;;;x;
PROV_DECISION_NO_POTENTIAL;В данный момент мы не можем принять никаких решений, касающихся этой провинции.;Nous n’avons actuellement aucune dйcision а prendre dans cette province;Wir haben derzeit keine Entscheidungen in dieser Provinz zu treffen;;Actualmente no tenemos decisiones que tomar en esta provincia.;;;;;;;;;x;
PROV_DECISION_BUTTON;Провинциальные решения;Dйcisions provinciales;Provinzentscheidungen;;Decisiones provinciales;;;;;;;;;x;
RELIGIOUS_DECISIONS;Религиозные решения;Dйcisions religieuses;Religionsentscheidungen;;Decisiones religiosas;;;;;;;;;x;
REBEL_FACTIONS;Группы повстанцев;Factions rebelles;Rebellenfraktionen;;Facciones rebeldes;;;;;;;;;x;
ANY_PROVINCE_STARTS;Любая провинция во владении;Provinces possйdйes;Jede Provinz in Besitz;;Cualquier provincia poseнda;;;;;;;;;x;
EFFECT_AND;...и;...et;…und;;... y;;;;;;;;;x;
EFFECT_MORE;более.;plus.;mehr.;;mбs.;;;;;;;;;x;
SET_FORCE_CONVERTED;Установить насильственное обращение.;Dйfinir la conversion par la force;Setze Zwangskonvertiert;;Establecer conversiуn por la fuerza;;;;;;;;;x;
FORCE_CONVERTED;Является насильственно обращенной страной;Fait l’objet d’une conversion forcйe;Ist zwangskonvertiert;;Se convierte por la fuerza;;;;;;;;;x;
NOT_FORCE_CONVERTED;НЕ является насильственно обращенной страной;Ne fait pas l’objet d’une conversion forcйe;Ist nicht zwangskonvertiert;;No se convierte por la fuerza;;;;;;;;;x;
heresy;Ересь;Hйrйsie;Irrglaube;;Herejнa;;;;;;;;;x;
desc_heresy;Ересь распространяется по всей провинции, словно язва.;L’hйrйsie s’est propagйe comme la peste dans la province.;Ein Irrglaube hat sich wie ein Krebsgeschwьr in der Provinz ausgebreitet.;;La herejнa se ha extendido como una plaga por la provincia.;;;;;;;;;x;
forced_conversion;Насильственное обращение;Conversion forcйe;Zwangskonvertierung;;Conversiуn por la fuerza;;;;;;;;;x;
desc_forced_conversion;Религиозные фанатики насильственно обратили население этой провинции в свою веру, убив или изгнав всех несогласных.;Les religieux fanatiques ont converti, par la force, cette province ; ceux qui ont refusй de se soumettre ont йtй tuйs ou chassйs de chez eux.;Religiцse Fanatiker haben diese Provinz mit Gewalt zu ihrem Glauben konvertiert, jene die sich dagegen stellten wurden vertrieben oder getцtet.;Los fanбticos religiosos han convertido por la fuerza esta provincia a su doctrina, matando o echando de sus casas a los que no se han sometido;Los fanбticos religiosos han convertido por la fuerza esta provincia a su doctrina, matando o echando de sus casas a los que no se han sometido;;;;;;;;;x
tax_revolt;Протест против налогов;Rйvolte fiscale;Steuerrevolte;;Revuelta por impuestos;;;;;;;;;x;
desc_tax_revolt;Крестьяне-повстанцы взяли под свой контроль эту провинцию, отказавшись выплачивать налоги.;Les paysans insurgйs ont pris le contrфle de la province, refusant obstinйment de payer leurs impфts.;Rebellische Bauern haben die Provinz besetzt und weigern sich, Steuern zu zahlen.;;Insurgentes campesinos se han adueсado de la provincia, negбndose rotundamente a pagar impuestos.;;;;;;;;;x;
heretic_country;Страна еретиков;Pays hйrйtique;Ketzerische Nation;;Paнs hereje;;;;;;;;;x;
desc_heretic_country;Мы восприняли немного другую интерпретацию нашей веры.;Nous avons adoptй une interprйtation lйgиrement diffйrente de la foi.;Wir haben eine leicht abweichende Interpretation des Glaubens angenommen.;;Hemos adoptado una interpretaciуn de la fe ligeramente diferente.;;;;;;;;;x;
crusader;Крестовый поход;Croisade;Kreuzzug;;Cruzada;;;;;;;;;x;
desc_crusader;Мы ведем священную войну против неверных. Да поможет нам бог!;Nous participons а la guerre sainte contre les infidиles. Grвce а Dieu, nous vaincrons !;Wir befinden uns in einem heiligen Krieg gegen die Unglдubigen. Gott wird uns den Sieg schenken!;;Hemos iniciado una Guerra Santa contra el infiel. ЎDios nos concederб la victoria!;;;;;;;;;x;
excommunication;Отлучение от церкви;Excommunication;Exkommunizierung;;Excomuniуn;;;;;;;;;x;
desc_excommunication;Наш правитель был отлучен от церкви. Да спасет Господь эту грешную душу!;Notre monarque a йtй excommuniй. Puisse Dieu avoir pitiй de son вme de pйcheur !;Unser Herrscher wurde exkommuniziert. Mцge Gott Gnade an seiner Seele haben!;;Nuestro gobernante ha sido excomulgado. ЎQue Dios se apiade del alma de ese pecador!;;;;;;;;;x;
MONARCHY;Монархия;Monarchie;Monarchie;;Monarquнa;;;;;;;;;x;
REPUBLIC;Республика;Rйpublique;Republik;;Repъblica;;;;;;;;;x;
THEOCRACY;Теократия;Thйocratie;Theokratie;;Teocracia;;;;;;;;;x;
MONARCHISTS;Монархисты;Monarchistes;Monarchisten;;Monбrquicos;;;;;;;;;x;
REPUBLICANS;Республиканцы;Rйpublicains;Republikaner;;Republicanos;;;;;;;;;x;
THEOCRATS;Теократы;Thйocrates;Theokraten;;Teуcratas;;;;;;;;;x;
OUR_RULER;Наш правитель;Notre souverain;Unser Herrscher;;Nuestro gobernante;;;;;;;;;x;
THEIR_RULER;Их правитель;Leur souverain;Ihr Herrscher;;Su gobernante;;;;;;;;;x;
TRUST0;Они нам не доверят даже нашу смерть;Ils ne pensaient pas que nous allions mourir comme зa.;Sie wьrden uns nicht trauen, korrekt zu sterben.;;No confнan ciegamente en nosotros.;;;;;;;;;x;
TRUST1;Они ожидают от нас разрыва договоров;Ils s'attendent а ce que nous rompions marchйs et alliances.;Sie nehmen von uns an, jeden Vertrag zu brechen;;Esperan que rompamos cualquier trato y alianza.;;;;;;;;;x;
TRUST2;Они нам сильно не доверяют;Ils se mйfient terriblement de nous.;Sie misstrauen uns vцllig.;;Desconfнan profundamente de nosotros.;;;;;;;;;x;
TRUST3;Они смотрят на нас с недоверием;Ils nous regardent avec mйfiance.;Sie betrachten uns mit Misstrauen.;;Nos contemplan con desconfianza.;;;;;;;;;x;
TRUST4;Они нам мало доверяют;Ils souhaitent nous faire confiance.;Sie vertrauen uns ein klein wenig.;;Estбn dispuestos a confiar en nosotros un poco.;;;;;;;;;x;
TRUST5;Они доверяют нам ради соглашений;Ils nous font confiance pour tenir nos engagements.;Sie vertrauen uns, uns an die Abmachung zu halten.;;Confнan en que mantendremos nuestros tratos.;;;;;;;;;x;
TRUST6;Они считают нас благонадежными;Ils nous jugent parfaitement dignes de confiance.;Sie finden uns sehr vertrauenswьrdig.;;Nos consideran muy dignos de confianza.;;;;;;;;;x;
TRUST7;Они нам полностью доверяют;Ils nous font implicitement confiance.;Sie vertrauen uns blind.;;Confнan en nosotros de forma incondicional.;;;;;;;;;x;
TRUST8;Они нам чрезвычайно доверяют;Ils nous font complиtement confiance.;Sie nehmen an, wir wьrden dem Ruf gegen die Dunkelheit selbst folgen.;;Confнan completamente en nosotros.;;;;;;;;;x;
OCCUPIED_PROVINCES;Оккупированные провинции;Provinces occupйes;Besetzte Provinzen;;Provincias ocupadas;;;;;;;;;x;
CREATE_REBELS;В провинции §Y$WHERE$§W группа повстанцев §Y$TYPE$§W поднимет восстание. Число полков мятежников будет равно §R$SIZE$.\n;§R$SIZE$§Y rйgiment(s) $TYPE$§W  se rйvoltent а §Y$WHERE$§W.\n;§R$SIZE$§Y $TYPE$§W Regiment(er) erheben sich in §Y$WHERE$§W.\n;;§R$SIZE$§Y regimiento(s) de $TYPE$§W se ha(n) sublevado en §Y$WHERE$§W.\n;;;;;;;;;x;
NATIONALISM_LOWER_THAN;Национализм меньше ;Nationalisme infйrieur а ;Nationalismus geringer als;;Nacionalismo menor que ;;;;;;;;;x;
NATIONALISM_HIGHER_THAN;Национализм больше ;Nationalisme supйrieur а ;Nationalismus hцher als;;Nacionalismo mayor que ;;;;;;;;;x;
CONFIRMACCEPTANCETITLE;Принятие условий повстанцев;Accepter les exigences de §Y$NAME$§W;Die Forderungen von §Y$NAME$§W akzeptieren;;Aceptar las demandas de los §Y$NAME$§W;;;;;;;;;x;
CONFIRMACCEPTANCETEXT;Вы действительно хотите принять условия группы повстанцев §Y$NAME$§W?;Voulez-vous vraiment accepter les exigences de §Y$NAME$§W ?;Seit Ihr sicher das Ihr die Forderungen von §Y$NAME$§W akzeptieren wollt?;;їSeguro que querйis aceptar las demandas de los §Y$NAME$§W?;;;;;;;;;x;
TOLERANCE_TO_RELIGION_LESS_THAN;Веротерпимость к религии меньше ;Tolйrance religieuse infйrieure а ;Toleranz zur Religion weniger als;;Tolerancia a la religiуn menor que ;;;;;;;;;x;
TOLERANCE_TO_RELIGION_GREATER_THAN;Веротерпимость к религии больше ;Tolйrance religieuse supйrieure а ;Toleranz zur Religion grцЯer als;;Tolerancia a la religiуn mayor que ;;;;;;;;;x;
KNOWN_COUNTRY_STARTS;Любая известная держава;Pays connu;Bekanntes Land;;Paнs conocido;;;;;;;;;x;
EXTRA_NATIONALISM_DESC;В провинции $WHERE$ срок национализма $DIRECTION$ на $VALUE$ лет.\n;$DIRECTION$ $VALUE$ annйes de nationalisme en $WHERE$.\n;$DIRECTION$ $VALUE$ Jahre des Nationalismus in $WHERE$.\n;;$VALUE$ aсos de $DIRECTION$ de nacionalismo en $WHERE$.\n;;;;;;;;;x;
MODIFIER_TOLERANCE_OWN;Веротерпимость к истинной вере;Tolйrance de la vraie foi;Toleranz des wahren Glaubens;;Tolerancia de la fe verdadera;;;;;;;;;x;
MODIFIER_TOLERANCE_HERETIC;Веротерпимость к еретикам;Tolйrance des hйrйtiques;Toleranz der Hдretiker;;Tolerancia de herejes;;;;;;;;;x;
MODIFIER_TOLERANCE_HEATHEN;Веротерпимость к язычникам;Tolйrance des paпens;Toleranz der Unglдubigen;;Tolerancia de paganos;;;;;;;;;x;
TOLERANCE_DESC;Веротерпимость отражает ваше отношение к различным религиям внутри страны. Низкая веротерпимость негативным образом скажется на провинции, к примеру, увеличит в ней риск восстания.;La tolйrance correspond а votre degrй d'acceptation des diffйrentes religions de votre nation. Une faible tolйrance affecte nйgativement les provinces, par exemple, en augmentant le risque de rйvolte.;Toleranz gibt Eure Akzeptanz von anderen Religionen innerhalb Eurer Nation an. Niedrige Toleranz wird Provinzen negativ beeinflusse, etwa durch erhцhtes Revoltenrisiko.;;La tolerancia representa vuestra aceptaciуn de las diferentes religiones dentro de la naciуn. Una tolerancia baja afectarб negativamente a las provincias, lo que incrementarб el riesgo de revuelta, por ejemplo.;;;;;;;;;x;
TOLERANCE_OWN;Веротерпимость к истинной вере: $FAITH$;Tolйrance de la vraie foi $FAITH$;Toleranz des wahren $FAITH$ Glaubens;;Tolerancia de la fe verdadera ($FAITH$);;;;;;;;;x;
TOLERANCE_HERETIC;Веротерпимость к еретическим верованиям;Tolйrance des croyances hйrйtiques;Toleranz des hдretischen Glaubens;;Tolerancia de las creencias herйticas;;;;;;;;;x;
TOLERANCE_HEATHEN;Веротерпимость к языческим верованиям;Tolйrance des croyances paпennes;Toleranz der anderen Religionen;;Tolerancia de las creencias paganas;;;;;;;;;x;
CARDINAL_NOT_READY;На этого кардинала уже было недавно оказано влияние. Мы должны подождать до ;Le cardinal s'est rйcemment laissй influencer. Nous devons attendre jusqu'а ;Der Kardinal wurde vor zu kurzer Zeit beeinflusst. Wir mьssen warten bis ;;El cardenal ha sido demasiado influido ъltimamente. Debemos esperar hasta ;;;;;;;;x;;
CALL_CRUSADETITLE;Призвать к крестовому походу;Appeler а une croisade;Ruf nach einem Kreuzzug;;Decretar Cruzada;;;;;;;;;x;
CALL_CRUSADENEWDESC;Вы действительно хотите призвать к крестовому походу против державы $COUNTRY$? Это даст католическим странам, находящимся в войне с неверной страной, серьезное увеличение числа рекрутов и дохода от налогов.;Voulez-vous appeler а une croisade contre $COUNTRY$ ? Cela permettra aux pays catholiques en guerre contre les infidиles de disposer d'une main-d'њuvre considйrable ainsi que d'un bonus de revenu.;Wollt Ihr einen Kreuzzug gegen $COUNTRY$ ausrufen? Das wird katholischen Lдndern einen signifikanten Zuwachs an Rekruten und Einkommen bringen wдhrend sie sich im Krieg gegen die Unglдubigen befinden.;;їQuerйis decretar una cruzada contra $COUNTRY$? Esto proporcionarб a los paнses catуlicos una importante bonificaciуn en recursos humanos e ingresos mientras estйn en guerra con el infiel.;;;;;;;;;x;
CALL_CRUSADEDESC;Участие в крестовом походе дает католическим странам серьезное увеличение числа рекрутов и дохода от налогов.;Les croisades permettent aux pays catholiques en guerre contre les infidиles de disposer d'une main-d'њuvre considйrable ainsi que d'un bonus de revenu.;Kreuzzьge bescheren katholischen Nationen einen signifikanten Zuwachs bei Rekruten und Einkommen wдhrend wir im Krieg mit ihnen liegen.;;Las Cruzadas proporcionan a los paнses catуlicos una importante bonificaciуn en recursos humanos e ingresos mientras estйn en guerra con ellos.;;;;;;;;;x;
HASCALL_CRUSADE;Мы уже призвали к крестовому походу против этой державы.;Nous avons dйjа appelй а une croisade contre eux.;Wir haben bereits einen Kreuzzug gegen sie ausgerufen.;;Ya hemos decretado una Cruzada contra ellos.;;;;;;;;;x;
EXCOMMUNICATETITLE;Отлучить от церкви;Excommunier;Exkommunizieren;;Excomulgar;;;;;;;;;x;
EXCOMMUNICATENEWDESC;Вы действительно хотите отлучить от церкви правителя по имени $MONARCH$? Католическим странам больше не будет нужен повод для войны с державой $COUNTRY$, и они не будут терять стабильность, нападая на земли единоверцев.;Voulez-vous excommunier $MONARCH$ ? Les pays catholiques auront besoin d'un casus belli contre $COUNTRY$ et leur religion commune n'affectera pas leur stabilitй.;Wollt Ihr $MONARCH$ exkommunizieren? Katholische Lдnder werden keinen Casus Belli gegen $COUNTRY$ mehr benцtigen und werden keinen Stabilitдtsverlust bei der Kriegserklдrung erleiden.;;їQuerйis excomulgar a $MONARCH$? Los paнses catуlicos no necesitarбn un casus belli contra $COUNTRY$ y no sufrirбn impacto en la estabilidad por tener la misma religiуn.;;;;;;;;;x;
EXCOMMUNICATEDESC;Если католические страны объявляют войну отлученной державе, то их стабильность не снижается ни из-за нападения на единоверцев, ни из-за отсутствия повода к войне.;L'excommunication permettra aux autres nations catholiques de leur dйclarer la guerre sans impact sur leur stabilitй ou en l'absence de casus belli.;Eine Exkommunizierung wird es anderen katholischen Nationen erlauben, einen Krieg ohne die normalen Stabilitдtsverluste oder einen Casus Belli zu erklдren.;;La excomuniуn permitirб a las demбs naciones catуlicas declararles la guerra sin sufrir los habituales efectos en la estabilidad por tener la misma religiуn o por falta de casus belli.;;;;;;;;;x;
HASEXCOMMUNICATE;Мы уже отлучили их от церкви.;Nous les avons dйjа excommuniйs.;Wir haben sie bereits exkommuniziert.;;Ya los hemos excomulgado.;;;;;;;;;x;
EXCOM_NO_RULER;У них нет правителя, которого можно было бы отлучить от церкви.;Ils n'ont actuellement aucun souverain а excommunier.;Sie haben derzeit keinen Herrscher, den wir exkommunizieren kцnnen.;;Actualmente no tienen gobernante al que excomulgar.;;;;;;;;x;;
EXCOM_WRONG_RELIGION;Мы можем отлучать от церкви только католиков.;Nous pouvons uniquement excommunier les catholiques.;Wir kцnnen nur Katholiken exkommunizieren.;;Solo podemos excomulgar a catуlicos.;;;;;;;;x;;
EXCOM_NOT_READY;Мы не можем отлучать правителей от церкви направо и налево! Мы должны подождать по крайней мере до ;Nous ne pouvons pas excommunier les souverains de gauche et de droite ! Nous devons attendre au moins jusqu'а ;Wir kцnnen nicht andauernd Herrscher exkommunizieren! Wir mьssen warten bis ;;ЎNo podemos ir por ahн excomulgando a gobernantes a diestro y siniestro! Debemos esperar, por lo menos hasta ;;;;;;;;x;;
EXCOMMUNICATED;Отлученный от церкви;Excommuniй(s);Exkommuniziert;;Excomulgado;;;;;;;;x;;
EXCOMMUNICATED_DESC;Папа Римский отлучил от церкви этого правителя. Католические страны могут объявлять ему войну без потери стабильности.;Le pape a jugй bon d'excommunier ce souverain. Les pays catholiques peuvent dйclarer la guerre sans que leur stabilitй s'en trouve affectйe.;Der Papst hat diesen Herrscher exkommuniziert. Katholische Lдnder kцnnen ihm den Krieg erklдren, ohne den normalen Stabilitдtsverlust.;;El Papa ha dado su visto bueno para excomulgar a este gobernante. Los paнses catуlicos pueden declarar la guerra sin sufrir los efectos habituales en la estabilidad.;;;;;;;;x;;
IS_EXCOMMUNICATED;Отлучен от церкви правитель державы ;Est excommuniй ;Ist exkommuniziert;;Estб excomulgado ;;;;;;;;x;;
IS_NOT_EXCOMMUNICATED;НЕ отлучен от церкви правитель державы ;N'est pas excommuniй ;Ist nicht exkommuniziert;;No estб excomulgado ;;;;;;;;x;;
CRUSADE;Крестовый поход;Croisade;Kreuzzug;;Cruzada;;;;;;;;;x;
CRUSADE_DESC;Католики всего мира должны атаковать во славу Господа нашего державу §Y$NAME$§W! Крестовый поход продлится до $DATE$, если только неверные не падут раньше.;Les catholiques du monde entier sont encouragйs а attaquer §Y$NAME$§W au nom de notre Seigneur ! La croisade durera jusqu'au $DATE$ ou jusqu'а ce que les infidиles aient йtй йliminйs.;Katholiken ьberall auf der Welt machen sich auf, $NAME$ im Namen des Herrn anzugreifen! Der Kreuzzug wird bis $DATE$ dauern, oder bis die Unglдubigen vernichtet wurden.;;Se exhorta a todos los catуlicos del mundo para que ataquen a $NAME$ en el nombre de Nuestro Seсor. La Cruzada durarб hasta el $DATE$ o hasta que el infiel haya sido destruido.;;;;;;;;;x;
ALREADY_CRUSADING;Папа Римский уже призвал католиков к крестовому походу. Мы должны подождать, пока не окончится текущий поход.;Le pape a dйjа lancй une croisade. Nous devons attendre qu'elle prenne fin avant d'en appeler une autre.;Der Papst hat bereits einen Kreuzzug ausgerufen. Wir mьssen warten, bis er beendet ist, bevor wir einen anderen ausrufen.#;;El Papa ya ha puesto en marcha una Cruzada. Debemos esperar a que acabe antes de decretar otra.;;;;;;;;;x;
CRUSADE_SAME_RELIGION;Как это ни заманчиво, мы не можем объявить крестовый поход против братьев-христиан вне зависимости от того, являются они еретиками или нет.;Bien que tentant, nous ne pouvons pas lancer de croisade contre d'autres chrйtiens, hйrйtiques ou non.;Es ist zwar verfьhrerisch, aber wir kцnnen keinen Kreuzzug gegen Christen ausrufen, Ketzer oder nicht.;;Aunque es tentador, no podemos lanzar una Cruzada contra nuestros socios cristianos, sean herejes o no.;;;;;;;;;x;
CRUSADEONUS_SETUP;Папу убеждают начать крестовый поход против нас;Lorsque le contrфleur pontifical appelle а une croisade contre nous;Wenn der Papstkontrolleur einen Kreuzzug gegen uns ausruft.;;Cuando el Valedor del Papa decrete una Cruzada contra nosotros.;;;;;;;;;x;
CRUSADEONUS_HEADER;Герольд державы;Message de l’ambassadeur :;Herold aus;Wysіannik paсstwa:;Un heraldo de;Messaggero da;Hнrnцk йrkezett tхle:;Herold od;;;;;;x;
CRUSADEONUS_1;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;;;;;;x;
CRUSADEONUS_2;сообщает, что они призвали к;$MONARCHTITLE$, les infidиles chrйtiens ont appelй а une;$MONARCHTITLE$, die christlichen Unglдubigen rufen nach einem;;Ў$MONARCHTITLE$, los infieles cristianos han decretado una;;;;;;;;;x;
CRUSADEONUS_3;крестовому походу;CROISADE;KREUZZUG;;Cruzada;;;;;;;;;x;
CRUSADEONUS_4;против;contre;gegen;;contra;;;;;;;;;x;
CRUSADEONUS_5;нас!;NOUS !;UNS!;;NOSOTROS!;;;;;;;;;x;
CRUSADEONUS_6;Солдаты неверных начинают собираться под католическими знаменами, чтобы напасть на нас.;Les soldats infidиles se regrouperont sous les banniиres des pays catholiques en guerre contre nous.;Unglдubige Soldaten werden sich um die Fahnen der christlichen Nationen scharen, die mit uns im Krieg sind.;;Los soldados infieles se unirбn en tropel bajo los estandartes de los paнses catуlicos en guerra con nosotros.;;;;;;;;;x;
CRUSADEONUS_LOG;Папа под влиянием державы $ACTOR$ призвал всех католиков к крестовому походу против нас.;Le pape ($ACTOR$) a appelй а une croisade contre nous.;$ACTOR$ hat den Papst ьberzeugt, einen Kreuzzug gegen uns auszurufen.;;El Papa ha llamado a $ACTOR$ a una Cruzada contra nosotros.;;;;;;;;;x;
CRUSADEONUS_BTN1;ОК;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
CRUSADEONUS_BTN2;ОК;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
CRUSADEONUS_BTN3;Перейти;Voir;GOTO;Idџ do;Ir allн;Andare;Ugrбs;Pшejнt na;;;;;;x;
CRUSADEONUS_MAP;*;*;*;*;*;*;*;;;;;;;x;
