REBEL_SUPPRESSION_DESC;Армии, получившие приказ на подавление повстанцев, будут самостоятельно преследовать отряды мятежников и осаждать захваченные ими провинции. Однако вступать в бой с войсками других держав они не станут.;Armeen, die zur Rebellenunterdrьckung eingesetzt werden, gehen autonom auf die Rebellenjagd und belagern Rebellenprovinzen. Von Armeen auslдndischer Nationen halten sie sich hingegen fern.;Les armйes chargйes de neutraliser les rebelles traqueront, de maniиre autonome, les unitйs rebelles et assiйgeront leurs provinces, tout en se tenant а l’йcart des armйes ennemies des nations йtrangиres.;Las tropas con уrdenes de eliminar rebeldes los cazarбn de forma autуnoma y sitiarбn provincias rebeldes, pero evitarбn a los ejйrcitos hostiles de naciones extranjeras.;;;;;;;;;;x;;
MAPMODE_ECONOMY;Экономическая карта;Wirtschafts-Kartenmodus;Mode de carte Йconomie;Modo de mapa econуmico;;;;;;;;;;x;;
MAPMODE_MANPOWER;Карта рекрутов;Mannstдrke-Kartenmodus;Mode de carte Effectifs;Modo de mapa de mano de obra;;;;;;;;;;x;;
MAPMODE_FORTLEVEL;Карта крепостей;Befestigungsstufe-Kartenmodus;Mode de carte Niveau de fortification;Modo de mapa nivel de fortalezas;;;;;;;;;;x;;
MAPMODE_STABILITY;Карта стоимости стабильности;Stabilitдtskosten-Kartenmodus;Mode de carte Coыt de stabilitй;Modo de mapa de coste de estabilidad;;;;;;;;;;x;;
MAPMODE_TECH_COST;Карта технологий;Technologie-Kartenmodus;Mode de carte Technologie;Modo de mapa tecnologнa;;;;;;;;;;x;;
MAPMODE_TRADE_VALUE;Карта торгового оборота;Handelswert-Kartenmodus;Mode de carte Commerce;Modo de mapa valor comercial;;;;;;;;;;x;;
MAPMODE_SUPPLY_LIMIT;Карта лимита снабжения;Versorgungslimit-Kartenmodus;Mode de carte Capacitй de ravitaillement;Modo de mapa lнmite de suministros;;;;;;;;;;x;;
MAPMODE_BUILDINGS;Карта зданий;Gebдude-Kartenmodus;Mode de carte Bвtiments;Modo de mapa edificios;;;;;;;;;;x;;
MAPMODE_TROOP_BUILD_SPEED;Карта формирующихся полков;Rekrutierungs-Kartenmodus;Mode de carte Recrutement;Modo de mapa reclutamiento;;;;;;;;;;x;;
MAPMODE_SHIP_BUILD_SPEED;Карта строящихся кораблей;Schiffsbau-Kartenmodus;Mode de carte Constructions navales;Modo de mapa construcciones navales;;;;;;;;;;x;;
MAPMODE_MISSIONARY;Карта действующих миссионеров;Missionars-Kartenmodus;Mode de carte Missionnaires;Modo de mapa misionero;;;;;;;;;;x;;
PW_STAB_COST;Стабильность;Stabilitдtskosten;Coыt de stabilitй;Coste de estabilidad;;;;;;;;;;x;;
MISSIONARY_IN_PROGRESS;В этой провинции работает миссионер.;Missionar ist aktiv.;Le missionnaire est actif.;El misionero estб activo.;;;;;;;;;;x;;
MISSIONARY_MAP_TOOLTIP;Шансы на обращение в §Y$RELIGION$§W равны §Y$CHANCE$%§W.;§Y$CHANCE$%§W Konvertierungschance zu §Y$RELIGION$§W.;§Y$CHANCE$%§W de  chance de conversion а §Y$RELIGION$§W.;§Y$CHANCE$%§W de posibilidades de convertir al §Y$RELIGION$§W.;;;;;;;;;;x;;
BMP_MAX;В этой провинции мы уже достигли максимально возможного числа зданий (§Y$NUM$§W).;Das mцgliche Maximum von $NUM$ bekannten Gebдuden wurde hier gebaut.;Le maximum de $NUM$ bвtiments connus a йtй construit ici.;Aquн se ha construido el mбximo posible de $NUM$ edificios conocidos.;;;;;;;;;;x;;
BMP_CAN;Число зданий, которые мы еще можем здесь построить, равно §Y$NUM$§W.;Ihr kцnnt hier $NUM$ weitere Gebдude bauen.;Vous pouvez construire $NUM$ bвtiments de plus ici.;Puedes construir $NUM$ edificios mбs aquн.;;;;;;;;;;x;;
BMP_UNIQUE;В этой провинции есть уникальная постройка - §Y$NAME$§W.;In dieser Provinz gibt es: §Y$NAME$§W.;Cette province dispose de §Y$NAME$§W.;Esta provincia tiene un §Y$NAME$§W.;;;;;;;;;;x;;
POS_CAP_TT;Учитывая количество пушек во флоте, показатель выбора позиции в бою не может превышать §Y$VAL$§W%.;Aufgrund der Kanonenanzahl der Flotte kann die Positionierung im Gefecht niemals ьber §Y$VAL$§W% liegen.;Compte tenu du nombre de canons de la flotte, le positionnement ne doit jamais dйpasser §Y$VAL$§W% au combat.;Debido a la cantidad de caсones de la flota, el posicionamiento nunca puede superar §Y$VAL$§W% en combate.;;;;;;;;;;x;;
support_temple_faction_title;Поддержать фракцию монахов;Tempelfraktion ermutigen;Encourager la faction du temple;Potenciar la facciуn del templo;;;;;;;;;x;;;
support_temple_faction_desc;Поощрив прилежных молодых людей ко вступлению во фракцию монахов, мы усилим влияние последних при дворе.;Wir kцnnen junge, fleiЯige Mдnner ermutigen, ihren Einfluss am Hof durch Beitritt zur Tempelfraktion zu stдrken.;Nous encourageons les jeunes travailleurs а rejoindre la faction du temple pour renforcer son influence auprиs de la cour.;Os animamos, diligentes jуvenes, a uniros a la facciуn del templo para aumentar su influencia en la corte.;;;;;;;;;x;;;
support_enuchs_faction_title;Поддержать фракцию евнухов;Eunuchenfraktion ermutigen;Encourager la faction des eunuques;Potenciar la facciуn de los eunucos;;;;;;;;;x;;;
support_enuchs_faction_desc;Влияние при дворе фракции евнухов в последнее время сильно уменьшилось. Мы должны помочь вернуть им былую власть.;Der Einfluss der Eunuchenfraktion am Hof hat in letzter Zeit nachgelassen. Wir mьssen ihre Macht am Hof stдrken.;Les rangs de la faction des eunuques se sont rйcemment clairsemйs et il nous faut renforcer sa puissance auprиs de la cour.;La facciуn de eunucos de la corte se ha reducido ъltimamente, debemos aumentar su poder en la corte.;;;;;;;;;x;;;
support_crats_faction_title;Поддержать фракцию бюрократов;Bьrokratenfraktion ermutigen;Encourager la faction des bureaucrates;Potenciar la facciуn de los burуcratas;;;;;;;;;x;;;
support_crats_faction_desc;Поощрив прилежных молодых людей ко вступлению во фракцию бюрократов, мы усилим влияние последних при дворе.;Wir kцnnen junge, fleiЯige Mдnner ermutigen, ihren Einfluss am Hof durch Beitritt zur Bьrokratenfraktion zu stдrken.;Nous encourageons les jeunes travailleurs а rejoindre la faction des bureaucrates pour renforcer son influence auprиs de la cour.;Os animamos, diligentes jуvenes, a uniros a la facciуn de los burуcratas para aumentar su influencia en la corte.;;;;;;;;;x;;;
LOSE_CORE_EFFECT2;Держава §Y$WHO$§W перестанет считать национальной провинцию §Y$LOSE$§W.\n;$WHO$ verliert Kernprovinz in $PROV$.\n;$WHO$ perd le contrфle de $PROV$.\n;$WHO$ pierde el corazуn de $PROV$.\n;;;;;;;;;x;;;
SPHERE_OTHER_VASSAL;Они являются §Y$ADJ$ вассалом§W, поэтому мы не можем расширить на них свою сферу влияния.;Sie sind ein $ADJ$ Vasall, deshalb kцnnen wir sie unserer Einflusssphдre nicht hinzufьgen.;Ils sont un vassal $ADJ$ et il nous est donc impossible de les ajouter а notre sphиre d’influence.;Hay un vasallo $ADJ$, asн que no podemos incluirles en nuestra esfera de influencia.;;;;;;;;;;x;;
CAV_TO_INF_RATIO;Численность кавалерии в нашей армии не может превышать §Y$MAX$%§W от численности пехоты. Иначе мы потеряем бонус за взаимодействие войск.;Ihr kцnnt in einem Gefecht im Vergleich zu Eurer Infanterie nicht mehr als §Y$MAX$%§W Kavallerie haben, da Ihr sonst den Bonus fьr verbundene Krдfte einbьЯt.;Au combat, vous ne pouvez pas disposer de plus de §Y$MAX$%§W йlйments de cavalerie par rapport а votre infanterie, sinon vous perdrez votre bonus d’armes combinйes.;No puedes tener mбs de §Y$MAX$%§W unidades de caballerнa en relaciуn a tu infanterнa en batalla, o perderбs la ventaja de las armas combinadas.;;;;;;;;;;x;;
EVTNAME9090;Возвращение пров. $FROM$;Die Freigabe von $FROM$;La libertй de $FROM$;La liberaciуn de $FROM$;;;;;;;;;;x;;
EVTDESC9090;Держава $FROMCOUNTRY$ решила вернуть незаконно захваченную ею территорию провинции $FROM$. Шаг, без сомнения, мудрый...\n\nДабы избежать обвинений в незаконном присвоении имперских территорий, лучше вернуть провинцию прежнему владельцу. И как можно быстрее.;$FROMCOUNTRY$ hat sich entschlossen, die unrechtmдЯig besetzte Provinz $FROM$ abzutreten. Eine ... weise Entscheidung.\n\nUm uns vor дhnlichen Beschuldigungen, betreffend der unrechtmдЯigen Besetzung kaiserlicher Provinzen zu schьtzen, wдre es klug, die Provinz so schnell wie mцglich ihrem rechtmдЯigen Eigentьmer zurьckzugeben.;$FROMCOUNTRY$ a pris la dйcision de restituer la province illйgitime de $FROM$. Sage dйcision !\n\nPour йviter toute accusation similaire de dйtention illйgale de provinces impйriales, il serait bon de restituer la province а son propriйtaire lйgitime et ce, dans les meilleurs dйlais.;$FROMCOUNTRY$ ha decidido devolver la provincia ilegalmente retenida de $FROM$. Han elegido... sabiamente.\n\nPara evitar acusaciones similares de retener ilegalmente provincias imperiales, serнa aconsejable devolver la provincia a su legнtimo propietario lo antes posible.;;;;;;;;;;x;;
EVTOPTA9090;Она же наша!;Nun, jetzt gehцrt sie uns!;Eh bien, elle est а nous maintenant !;ЎBien, ahora es nuestra!;;;;;;;;;;x;;
EVTOPTB9090;Вернуть прежнему владельцу;Gebt sie dem vorherigen Eigentьmer zurьck.;La restituer а son ancien propriйtaire.;Devuйlvela al propietario anterior.;;;;;;;;;;x;;
EVTNAME9091;Провинция $FROM$;Die Provinz $FROM$;La province de $FROM$;La provincia de $FROM$;;;;;;;;;;x;;
EVTDESC9091;Держава $FROMCOUNTRY$ отказала нам в требовании вернуть незаконно захваченные ею земли провинции $FROM$.;$FROMCOUNTRY$ hat unsere Forderung zur Rьckgabe der unrechtmдЯig besetzten Provinz $FROM$ abgelehnt.;$FROMCOUNTRY$ a dйclinй notre demande concernant la restitution de la province dйtenue illйgalement de $FROM$.;$FROMCOUNTRY$ ha rechazado nuestra peticiуn de devolver la provincia ilegalmente retenida de $FROM$.;;;;;;;;;;x;;
EVTOPTA9091;Неразумное решение...;Eine ... schlechte Entscheidung.;Mauvaise dйcision.;Han elegido... muy mal.;;;;;;;;;;x;;
EVTNAME9001;Открытие Киото!;Kyoto entdeckt!;Dйcouverte de Kyoto !;ЎKyoto descubierto!;;;;;;;;;;x;;
EVTDESC9001;$MONARCHTITLE$! До нас только что дошли вести с Дальнего Востока: наш исследователь посетил столицу Японии. Мы должны извлечь из этого всю возможную выгоду до того, как это сделают другие европейские страны.;$MONARCHTITLE$! Gerade hat uns eine Nachricht aus dem Fernen Osten erreicht: Ein Entdecker unserer Nation hat die Hauptstadt Japans besucht. Wir mьssen uns daraus umgehend einen Vorteil verschaffen, bevor uns andere europдische Nationen zuvorkommen.;$MONARCHTITLE$ ! Une nouvelle vient de nous parvenir d’Extrкme-Orient. Un de nos explorateurs a rejoint la capitale japonaise. Il nous faut en profiter au plus vite avant que d’autres nations europйennes ne le fassent.;Ў$MONARCHTITLE$! La noticia acaba de llegarnos desde extremo oriente. Un explorador de nuestra naciуn ha visitado la capital de Japуn. Debemos apresurarnos a aprovecharnos de esto antes de que lo hagan otras naciones europeas.;;;;;;;;;;x;;
EVTOPTA9001;Отлично!;Hervorragend!;Excellent !;ЎExcelente!;;;;;;;;;;x;;
SHORTCUT;§WГорячая клавиша: §Y;§WShortcut: §Y;§WRaccourci : §Y;§WAcceso directo: §Y;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,;;
SM_SHORTCUT;Подсказка о горячих клавишах;Shortcut-Tooltipp;Info-bulle de raccourci;Ventana de acceso directo;;;;;;;;;x;;;
braveheart;Шотландские горцы;Die Highlander;Les Highlanders;Los montaсeses;;;;;;;;;;x;;
desc_braveheart;Кланы горной Шотландии спустились на равнины, чтобы погнать прочь проклятых англичан.;Die Highlander sind aus den Hьgeln hinabgestiegen, um die Englдnder zum Kampf zu fordern.;Les Highlanders sont venus combattre les Anglais.;Los montaсeses han bajado para combatir a los ingleses.;;;;;;;;;;x;;
unlawful_territory;Незаконная территория;UnrechtmдЯiges Territorium;Territoire illйgitime;Territorio ilegal;;;;;;;;;;x;;
desc_unlawful_territory;Согласно законам Священной Римской империи, эта провинция считается незаконно захваченной территорией.;GemдЯ der Verfassung des Heiligen Rцmischen Reiches wird diese Provinz als unrechtmдЯig besetzt angesehen.;Conformйment а la constitution du Saint-Empire romain germanique, cette province est dйtenue de maniиre illйgale.;Segъn la constituciуn del Sacro Imperio Romano Germбnico, esta provincia se considera ilegalmente retenida.;;;;;;;;;;x;;
EVTNAME6008;Интеграция территории;Territorium integriert;Territoire intйgrй;Territorio integrado;;;;;;;;;;x;;
EVTDESC6008;Провинция $PROVINCENAME$ теперь считается полноценной частью нашего государства. Местное сопротивление окончательно угасло, и население, как представляется, покорилось нашей власти.;Die Provinz $PROVINCENAME$ wird jetzt als voll integrierter Teil unseres Reiches angesehen. Der hiesige Widerstand ist erloschen, und es scheint, als erkenne die Bevцlkerung nun endlich unsere Vorherrschaft an.;La province $PROVINCENAME$ fait dйsormais partie intйgrante de notre royaume. La rйsistance a йtй matйe et il semble que la population se soumette enfin а notre suzerainetй.;La provincia de $PROVINCENAME$ se considera ahora una parte totalmente incorporada a nuestro reino. La resistencia local ha muerto y parece que la poblaciуn se somete por fin a nuestro dominio.;;;;;;;;;;x;;
EVTOPTA6008;Отлично!;Hervorragend!;Excellente nouvelle !;ЎExcelentes noticias!;;;;;;;;;;x;;
NO;Нет;NEIN;NON;NO;NO;NO;NEM;NE;;;;;;X;;
YES;ДА;JA;OUI;SН;SН;SМ;IGEN;ANO;;;;;;X;;
sardinia_piedmont_nation_title;Создать Сардинию-Пьемонт;Kцnigreich Sardinien grьnden;Former le Piйmont-Sardaigne;Constituye el reino de Cerdeсa-Piamonte;;;;;;;;;x;;;
sardinia_piedmont_nation_desc;Мы правим как Сардинией, так и Пьемонтом, и потому $MONARCH$ решил официально объединить оба королевства под единой властью, провозгласив создание королевства Сардиния-Пьемонт: истинного наследника племен тавринов и салассов.;Wir herrschen nun ьber Piedmont und Sardinien. $MONARCH$ hat entschieden, die beiden Kцnigreiche unter einer Krone formell zu vereinigen: dem Kцnigreich Sardinien, dem wahren Nachfolger der Taurini und der Salassi.;Nous rйgnons dйsormais sur le Piйmont et la Sardaigne et $MONARCH$ a dйcidй de les rйunir officiellement pour former le royaume de Piйmont-Sardaigne, vйritable descendant des Taurini et des Salassi.;Ahora gobernamos Piamonte y Cerdeсa, y $MONARCH$ ha decidido la unificaciуn formal de los dos reinos: el reino de Cerdeсa, el verdadero descendiente de los taurinos y los salasios.;;;;;;;;;x;;;
sardinia_piedmont_nation_inherit_title;Создать Сардинию-Пьемонт;Kцnigreich Sardinien grьnden;Former le Piйmont-Sardaigne;Constituye el reino de Cerdeсa-Piamonte;;;;;;;;;x;;;
sardinia_piedmont_nation_inherit_desc;Мы правим как Сардинией, так и Пьемонтом, и потому $MONARCH$ решил официально объединить оба королевства под единой властью, провозгласив создание королевства Сардиния-Пьемонт: истинного наследника племен тавринов и салассов.;Wir herrschen nun ьber Piedmont und Sardinien. $MONARCH$ hat entschieden, die beiden Kцnigreiche unter einer Krone formell zu vereinigen: dem Kцnigreich Sardinien, dem wahren Nachfolger der Taurini und der Salassi.;Nous rйgnons dйsormais sur le Piйmont et la Sardaigne et $MONARCH$ a dйcidй de les rйunir officiellement pour former le royaume de Piйmont-Sardaigne, vйritable descendant des Taurini et des Salassi.;Ahora gobernamos Piamonte y Cerdeсa, y $MONARCH$ ha decidido la unificaciуn formal de los dos reinos: el reino de Cerdeсa, el verdadero descendiente de los taurinos y los salasios.;;;;;;;;;x;;;
EVTNAME962;Утрата титула примаса Германии;Titel Primas Germaniae verloren;Perte du titre de Primas Germaniae;Tнtulo de Primas Germaniae perdido;;;;;;;;;;x;;
EVTDESC962;Престижным титулом §Wпримаса Германии§b может владеть только католический курфюрст духовного звания. Мы более не удовлетворяем этим условиям, и Папа решил лишить нас этой привилегии.;Der prestigetrдchtige Titel §WPrimas Germaniae§b kann nur von einem katholischen Kurfьrsten bekleidet werden. Da wir diese Anforderung nicht mehr erfьllen, hat uns der Papst das Privileg wieder entzogen.;Seul un йlecteur catholique peut porter le prestigieux titre de §WPrimas Germaniae§b. Йtant donnй que nous ne remplissons plus cette condition, le pape a annulй ce privilиge.;El prestigioso tнtulo §WPrimas Germaniae§b solo puede ser mantenido por un obispo catуlico. Como ya no cumplimos esos requisitos, el papa ha revocado el privilegio.;;;;;;;;;;x;;
EVTOPTA962;Какая неприятность;ДuЯerst bedauerlich.;Vraiment dommage.;Muy desafortunado.;;;;;;;;;;x;;
EVTNAME964;Утрата титула прирожденного легата;Position als Legatus Natus aberkannt;Annulation du titre de Legatus Natus;Puesto de Legatus Natus revocado;;;;;;;;;;x;;
EVTDESC964;Престижным титулом §Wприрожденного легата§b может владеть только католический архиепископ Священной Римской империи. Мы более не удовлетворяем этим условиям, и Папа решил лишить нас этой привилегии.;Die prestigetrдchtige Position des §WLegatus Natus§b kann nur von einem katholischen Bischof des Heiligen Rцmischen Reiches bekleidet werden. Da wir diese Anforderung nicht mehr erfьllen, hat uns der Papst den Titel wieder entzogen.;Seul un йvкque du Saint-Empire romain germanique peut porter le prestigieux titre de §WLegatus Natus§b. Йtant donnй que nous ne remplissons plus cette condition, le pape a annulй ce titre.;El prestigioso puesto de §WLegatus Natus§b solo puede ser mantenido por un obispo catуlico del Sacro Imperio Romano Germбnico. Como ya no cumplimos ese requisito, el papa ha revocado el tнtulo.;;;;;;;;;;x;;
EVTOPTA964;Какая неприятность;ДuЯerst bedauerlich.;Vraiment dommage.;Muy desafortunado.;;;;;;;;;;x;;
return_unlawful_territory_title;Вернуть незаконно захваченную территорию;UnrechtmдЯiges Territorium zurьckgeben;Restitution d’un territoire illйgitime;Devolver territorio ilegal;;;;;;;;;;x;;
return_unlawful_territory_desc;Согласно праву Священной Римской империи, мы владеем этой провинцией незаконно.;GemдЯ der Verfassung des Heiligen Rцmischen Reiches wird diese Provinz als unrechtmдЯig besetzt angesehen.;Conformйment а la constitution du Saint-Empire romain germanique, cette province est dйtenue de maniиre illйgale.;Segъn la constituciуn del Sacro Imperio Romano Germбnico, esta provincia se considera ilegalmente retenida.;;;;;;;;;;x;;
NOMADSRAZEUS_SETUP;Кочевники разрушают здание в одной из наших провинций;Wenn eines unserer Gebдude von einer Horde zerstцrt wird;Lorsqu’un de nos bвtiments est rasй par une horde;Cuando uno de nuestros edificios es destruido por una horda;;;;;;;;;;x;;
NOMADSRAZEUS_HEADER;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;;;;;;;;;;x;;
NOMADSRAZEUS_1;Разрушение здания!;Gebдude zerstцrt!;Bвtiment rasй !;ЎEdificio arrasado!;;;;;;;;;;x;;
NOMADSRAZEUS_2;$MONARCHTITLE$, в провинции;$MONARCHTITLE$, unser Gebдude;$MONARCHTITLE$, notre;$MONARCHTITLE$, nuestro;;;;;;;;;;x;;
NOMADSRAZEUS_3;§Y$PROVINCE$§W;§Y$BUILDING$§W in §Y$PROVINCE$§W;§Y$BUILDING$§W de §Y$PROVINCE$§W;§Y$BUILDING$§W en §Y$PROVINCE$§W;;;;;;;;;;x;;
NOMADSRAZEUS_4;было уничтожено наше здание;wurde zerstцrt!;a йtй dйtruit(e) !;Ўha sido destruido!;;;;;;;;;;x;;
NOMADSRAZEUS_5;§Y$BUILDING$§W!;*;*;*;*;*;*;*;*;*;*;*;*;x;;
NOMADSRAZEUS_6;*;*;*;*;*;*;*;*;*;*;*;*;*;x;;
NOMADSRAZEUS_LOG;В провинции $PROVINCE$ кочевниками было уничтожено наше здание $BUILDING$!;Unser Gebдude $BUILDING$ in $PROVINCE$ wurde von Horde-Angreifern zerstцrt!;Une horde a rasй notre $BUILDING$ de $PROVINCE$ !;ЎNuestro $BUILDING$ de $PROVINCE$ ha sido arrasado por una horda de asaltantes!;;;;;;;;;;x;;
NOMADSRAZEUS_BTN1;Негодяи!;Diese Bastarde!;Les ordures !;ЎBastardos!;;;;;;;;;;x;;
NOMADSRAZEUS_BTN2;Негодяи!;Diese Bastarde!;Les ordures !;ЎBastardos!;;;;;;;;;;x;;
NOMADSRAZEUS_BTN3;Перейти;Gehe zu;Afficher;Ir a;;;;;;;;;;x;;
NOMADSRAZEUS_MAP;*;*;*;*;*;*;*;*;*;*;*;*;*;x;;
NOMADSFLIPFROMUS_SETUP;Одна из наших провинций переходит во владение кочевников;Wenn eine von uns besetzte Provinz unter die Herrschaft einer Horde wechselt;Lorsqu’une de nos provinces passe aux mains d’une horde;Cuando una de nuestras provincias ocupadas pasa a manos de una horda;;;;;;;;;;x;;
NOMADSFLIPFROMUS_HEADER;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;;;;;;;;;;x;;
NOMADSFLIPFROMUS_1;Потеря провинции!;$PROVINCE$ verloren!;$PROVINCE$ perdue !;Ў$PROVINCE$ perdida!;;;;;;;;;;x;;
NOMADSFLIPFROMUS_2;$MONARCHTITLE$, провинция;$MONARCHTITLE$,;$MONARCHTITLE$,;$MONARCHTITLE$;;;;;;;;;;x;;
NOMADSFLIPFROMUS_3;§Y$PROVINCE$§W;§Y$PROVINCE$§W;§Y$PROVINCE$§W;§Y$PROVINCE$§W;;;;;;;;;;x;;
NOMADSFLIPFROMUS_4;полностью перешла во владение кочевников из державы;wurde bis zur Unterwerfung gebrandschatzt von:;a dы se soumettre а;ha sido saqueada por;;;;;;;;;;x;;
NOMADSFLIPFROMUS_5;§Y$HORDE$§W!;§Y$HORDE$§W;§Y$HORDE$§W;§Y$HORDE$§W;;;;;;;;;;x;;
NOMADSFLIPFROMUS_6;*;*;*;*;*;*;*;*;*;*;*;*;*;x;;
NOMADSFLIPFROMUS_LOG;Наша провинция $PROVINCE$ перешла во владение кочевников державы $HORDE$!;$PROVINCE$ verloren an: $HORDE$!;$HORDE$ a mis la main sur $PROVINCE$ !;Ў$PROVINCE$ ha caнdo en manos de $HORDE$!;;;;;;;;;;x;;
NOMADSFLIPFROMUS_BTN1;Варвары!;Barbaren!;Les barbares !;ЎBбrbaros!;;;;;;;;;;x;;
NOMADSFLIPFROMUS_BTN2;Варвары!;Barbaren!;Les barbares !;ЎBбrbaros!;;;;;;;;;;x;;
NOMADSFLIPFROMUS_BTN3;Перейти;Gehe zu;Afficher;Ir a;;;;;;;;;;x;;
NOMADSFLIPFROMUS_MAP;*;*;*;*;*;*;*;*;*;*;*;*;*;x;;
NOMADSFLIPTOUS_SETUP;Чужая провинция переходит во владение нашей орды;Wenn eine feindlich besetzte Provinz unter die Herrschaft unserer Horde wechselt;Lorsqu’une province occupйe par l’ennemi passe aux mains de notre horde;Cuando una provincia enemiga ocupada pasa a manos de nuestra horda;;;;;;;;;;x;;
NOMADSFLIPTOUS_HEADER;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;;;;;;;;;;x;;
NOMADSFLIPTOUS_1;Подчинение провинции!;$PROVINCE$ unterwirft sich!;$PROVINCE$ se soumet !;Ў$PROVINCE$ se somete!;;;;;;;;;;x;;
NOMADSFLIPTOUS_2;$MONARCHTITLE$, провинция;$MONARCHTITLE$,;$MONARCHTITLE$,;$MONARCHTITLE$;;;;;;;;;;x;;
NOMADSFLIPTOUS_3;§Y$PROVINCE$§W;§Y$PROVINCE$§W;§Y$PROVINCE$§W;§Y$PROVINCE$§W;;;;;;;;;;x;;
NOMADSFLIPTOUS_4;полностью перешла в наше владение. Держава;wurde durch Brandschatzung unterworfen und der Kontrolle entrissen von:;a du se soumettre et n’est plus sous le joug de;ha sido saqueada y arrebatada por;;;;;;;;;;x;;
NOMADSFLIPTOUS_5;§Y$OWNER$§W;§Y$OWNER$§W;§Y$OWNER$§W;§Y$OWNER$§W;;;;;;;;;;x;;
NOMADSFLIPTOUS_6;больше не имеет над ней никакой власти.;*;*;*;*;*;*;*;*;*;*;*;*;x;;
