EVTOPTA7003;"Эта ""уния"" только по названию?";Est-ce que c'est un mariage blanc ?;Sind wir nur im Namen vereint?;;їEs solo una uniуn en el papel?;;;;;;;;;x
EVTNAME7004;Культурные различия;Diffйrences culturelles;Kulturelle Unterschiede;;Diferencias culturales;;;;;;;;;x
EVTDESC7004;К несчастью, наш новый монарх не столь цивилизован, как мы сами. Тем не менее, его отсталые подданные кажутся обиженными этим.;Il serait tragique que les maniиres de notre souverain ne fussent pas aussi civilisйes que les nфtres. Mais de faзon tout а fait surprenante, ces personnes arriйrйes semblent s'offenser que nous leur enseignions les bonnes maniиres.;Tragischerweise ist die Kultur, aus der unser Herrscher stammt, der unseren unterlegen. Sein rьckstдndiges Volk fьhlt sich dadurch scheinbar vor den Kopf gestoЯen.;;Por desgracia, las costumbres de nuestro monarca no son tan civilizadas como las nuestras. No obstante, su atrasado pueblo parece ofendido por ello.;;;;;;;;;x
EVTOPTA7004;Запад есть Запад, а Восток есть Восток.;Nous c'est nous et c'est pas comme chez vous.;Osten bleibt Osten und Westen bleibt Westen;;Oriente es Oriente y Occidente es Occidente.;;;;;;;;;x
EVTNAME7005;Плохая репутация у нашей унии;Notre union a une mauvaise rйputation.;Unsere Personalunion hat einen schlechten Ruf;;Nuestra uniуn tiene una mala reputaciуn;;;;;;;;;x
EVTDESC7005;Наш монарх, мягко говоря, не тот человек, которого вы бы хотели видеть своим соседом. Вся история его державы представляет собой непрерывную цепочку завоеваний и расширения границ. К несчастью, кажется, нас начинают воспринимать так же, как и его.;Notre monarque n'est pas, pour rester poli, le meilleur des voisins. En fait, l'histoire de notre nation est faite d'expansions et de conquкtes. De maniиre tragique, il semble qu'on nous dйpeigne trиs nйgativement.;Um es hцflich auszudrьcken, unser Monarch ist nicht die Art Mensch, die man gerne zum Nachbarn hдtte. Die blutige Geschichte seiner Nation ist voll von Expansion und Eroberung. Leider vergiftet dieser schlechte Ruf nun auch unsere Beziehnungen.;;Nuestro monarca no estб considerado el mejor vecino del mundo, por decirlo suavemente. De hecho, la historia de su naciуn es de expansiуn y conquista. Por desgracia, parece que se nos va a poner la misma etiqueta.;;;;;;;;;x
EVTOPTA7005;На самом деле мы не такие!;Non, En fait nous ne sommes pas comme eux.;Aber, wir sind da ganz anders;;No somos la misma naciуn, la verdad;;;;;;;;;x
EVTOPTB7005;Мы единое целое!;Nous ne sommes qu'UN !;Wir sind EINS!;;ЎSomos UNA!;;;;;;;;;x
LEDGER_SUPPLY_LIMIT;Лимит снабжения;Limite de ravitaillement;Versorgungslimit;;Lнmite de suministros;;;;;;;;;x
LEDGER_COLONIAL_RANGE;Макс. колон. дист.;Distance max. de colonisation;Maximale Kolonisationsreichweite;;Alcance colonial mбx;;;;;;;;;x
MODIFIER_COLONIAL_RANGE;Колониальная дистанция;Distance limite de colonisation;Kolonialreichweite;;Alcance colonial ;;;;;;;;;x
